Key*,total,data
1,4.162447765,25/11/2015
2,3.366062174,29/2/2016
3,3.18948092,24/3/2016
4,1.650820105,22/7/2016
5,2.151950516,3/8/2016
6,3.125958577,15/8/2016
7,2.945672614,8/9/2016
8,3.42183342,20/9/2016
9,4.116397572,14/10/2016
10,5.10378355,7/11/2016
11,5.292669754,1/12/2016
12,5.292669754,1/12/2016
13,5.444673618,6/1/2017
14,5.314551369,18/1/2017
15,4.563060147,23/2/2017
16,4.596715659,7/3/2017
17,4.498617295,20/3/2017
18,3.730427381,12/4/2017
19,3.730427381,13/4/2017
20,3.727130565,20/4/2017
21,3.525229378,24/4/2017
22,4.130872494,6/5/2017
23,3.749025919,18/5/2017
24,3.749025919,19/5/2017
25,4.136012701,30/5/2017
26,4.401186491,11/6/2017
27,3.517614026,19/6/2017
28,4.124965248,13/7/2017
29,4.52705644,17/7/2017
30,4.52705644,18/7/2017
31,4.475251866,25/7/2017
32,4.279460618,6/8/2017
33,5.245669884,22/8/2017
34,5.245669884,23/8/2017
35,5.249421432,3/9/2017
36,5.187994369,28/9/2017
37,5.641338247,9/12/2017
38,4.950278454,28/12/2017
39,5.606938256,25/1/2018
40,3.832301698,2/2/2018
41,3.372729754,26/2/2018
42,3.550447815,10/3/2018
43,5.31950513,27/3/2018
44,4.352473865,20/4/2018
45,3.981202865,1/5/2018
46,3.981202865,2/5/2018
47,3.531086337,9/5/2018
48,3.738664628,25/5/2018
49,3.520152494,2/6/2018
50,3.579354592,7/6/2018
51,3.107132177,14/6/2018
52,2.943711428,12/7/2018
53,2.943711428,13/7/2018
54,2.885998291,1/8/2018
55,3.170681295,5/8/2018
56,3.605569477,17/8/2018
57,3.832258269,29/8/2018
58,4.513245824,18/9/2018
59,5.472654619,4/10/2018
60,5.371916626,9/11/2018
61,5.378192572,3/12/2018
62,4.864715605,8/1/2019
63,4.581243832,21/1/2019
64,3.990346707,13/2/2019
65,3.802802185,25/2/2019
66,3.802802185,26/2/2019
67,3.758833262,21/3/2019
68,3.758833262,22/3/2019
69,3.122618487,29/3/2019
70,3.706125437,3/4/2019
71,2.110344727,22/4/2019
72,1.935685691,4/5/2019
73,2.653500637,8/5/2019
74,1.684991405,28/5/2019
75,1.79643878,9/6/2019
76,2.104182615,13/6/2019
77,2.356141587,26/6/2019
78,2.284430404,3/7/2019
79,1.998390682,8/7/2019
80,2.051474951,1/8/2019
81,3.5376331,13/8/2019
82,5.103473283,4/11/2019
83,5.224346492,11/12/2019
84,3.168270825,30/12/2019
85,3.857008345,14/2/2020
86,4.052666175,20/2/2020
87,4.052666175,21/2/2020
88,3.447004806,26/2/2020
89,3.65002991,3/3/2020
90,3.558607989,9/3/2020
91,3.497162436,8/4/2020
92,3.557104655,14/4/2020
93,3.272120479,20/4/2020
94,3.272120479,21/4/2020
95,2.744030087,8/5/2020
96,2.35771704,10/5/2020
97,2.32550667,14/5/2020
98,2.630091499,20/5/2020
99,3.00464906,8/6/2020
100,2.458383011,15/6/2020
101,2.346314504,25/6/2020
102,2.809842322,1/7/2020
103,2.611412528,9/7/2020
104,2.393653496,21/7/2020
105,2.942236216,31/7/2020
106,2.940732777,6/8/2020
107,3.14260446,12/8/2020
108,2.825692845,14/8/2020
109,3.427106762,18/8/2020
110,3.427106762,19/8/2020
111,3.368314597,24/8/2020
112,3.195006995,26/8/2020
113,3.341426331,31/8/2020
114,3.497234572,7/9/2020
115,3.844680627,11/9/2020
116,4.17000206,17/9/2020
117,4.103564457,23/9/2020
118,4.103564457,24/9/2020
119,4.627259643,11/10/2020
120,4.2449121,13/10/2020
121,4.934713236,30/10/2020
122,4.73238894,6/11/2020
123,4.91006587,12/11/2020
124,4.720854301,18/11/2020
125,5.282061485,30/11/2020
126,5.04272429,10/12/2020
127,4.960045955,16/12/2020
128,4.922715197,3/1/2021
129,4.209673773,9/1/2021
130,4.748504874,15/1/2021
131,4.839420761,27/1/2021
132,4.582787522,29/1/2021
133,4.83035742,2/2/2021
134,3.795607451,22/2/2021
135,3.794755232,16/3/2021
136,3.275638864,30/3/2021
137,3.347830971,3/5/2021
138,1.906255033,17/5/2021
139,1.744490006,15/6/2021
140,1.932334631,14/7/2021
141,2.320352197,21/7/2021
142,2.384914646,1/8/2021
143,1.774485654,9/8/2021
144,2.022505999,13/8/2021
145,2.17533523,31/8/2021
146,5.188,6/9/2021
147,3.017,12/9/2021
148,3.248,18/9/2021
149,3.533,24/9/2021
150,3.521,26/9/2021
151,4.239,6/10/2021
152,4.662,8/10/2021
153,4.605,12/10/2021
154,4.999,18/10/2021
155,3.835,20/10/2021
156,5.212,24/10/2021
157,5.132,30/10/2021
158,3.441,1/11/2021
159,5.189,17/11/2021
160,4.879,25/11/2021
161,5.351,5/12/2021
162,4.648,7/12/2021
163,5.122,11/12/2021
164,5.314,17/12/2021
165,5.318,23/12/2021
166,4.87,31/12/2021
167,5.188,4/1/2022
168,3.042,12/1/2022
169,4.812,16/1/2022
170,4.493,17/1/2022
171,3.698,24/1/2022
172,4.473,28/1/2022
173,4.384,29/1/2022
174,4.98,5/2/2022
175,4.505,9/2/2022
176,4.3,10/2/2022
177,3.598,17/2/2022
178,4.4,21/2/2022
179,2.509,1/3/2022
180,3.522,5/3/2022
181,3.914,6/3/2022
182,1.882755772,14/3/2022
