Key*,total,data
1,0.676340142,2015-03-30
2,0.07883391,2015-10-08
3,0.33958995,2015-11-01
4,0.644766531,2015-11-25
5,0.916324956,2015-12-19
6,0.9029764,2016-01-12
7,0.309885188,2016-02-05
8,0.062795016,2016-02-29
9,0.24308022,2016-04-05
10,0.03396135,2016-04-17
11,0.049502955,2016-04-29
12,0.067878656,2016-12-25
13,0.095178565,2017-01-06
14,0.235171329,2017-01-18
15,0.356962663,2017-01-30
16,0.438903257,2017-02-23
17,0.426379567,2017-03-07
18,0.364216976,2017-03-19
19,0.186025199,2017-03-31
20,0.329258496,2017-04-01
21,0.227178606,2017-04-12
22,0.127942656,2017-04-20
23,0.080791921,2017-04-24
24,0.079375649,2017-04-25
25,0.011454552,2017-05-06
26,0.059270538,2017-05-19
27,0.135294522,2017-05-31
28,0.067387073,2017-06-12
29,0.089966902,2017-07-06
30,0.075809146,2017-07-18
31,0.029121919,2017-07-29
32,0.025234215,2017-08-06
33,0.109512396,2017-08-10
34,0.227479102,2017-08-22
35,0.097981694,2017-08-30
36,0.275858528,2017-09-03
37,0.280032892,2017-09-11
38,0.331674339,2017-09-15
39,0.351337787,2017-09-23
40,0.363996784,2017-09-27
41,0.460796806,2017-10-05
42,0.53449987,2017-10-09
43,0.602429203,2017-10-21
44,0.650035037,2017-11-02
45,0.757688285,2017-11-14
46,0.670043452,2017-11-26
47,0.85325336,2017-12-08
48,1.097622303,2017-12-21
49,0.859844726,2018-01-01
50,0.999619214,2018-01-14
51,0.693563329,2018-01-25
52,1.041955929,2018-02-06
53,0.756160472,2018-02-14
54,0.847354704,2018-03-02
55,0.918016023,2018-03-14
56,0.769753644,2018-03-26
57,0.538085554,2018-04-19
58,0.464824896,2018-05-01
59,0.384261512,2018-05-13
60,0.370350901,2018-05-21
61,0.338608639,2018-05-25
62,0.236109694,2018-06-02
63,0.361418095,2018-06-06
64,0.398503267,2018-06-18
65,0.325973189,2018-06-30
66,0.238938129,2018-07-01
67,0.305847423,2018-07-12
68,0.215516746,2018-07-20
69,0.332898855,2018-07-24
70,0.175412546,2018-08-01
71,0.309063108,2018-08-05
72,0.323177079,2018-08-17
73,0.34796153,2018-08-25
74,0.388833238,2018-08-29
75,0.450494297,2018-09-06
76,0.415685063,2018-09-10
77,0.440542984,2018-09-18
78,0.602698051,2018-09-22
79,0.673707856,2018-09-23
80,0.758554384,2018-10-04
81,0.96252151,2018-10-05
82,0.920432068,2018-10-16
83,0.950723937,2018-10-28
84,1.008845887,2018-11-09
85,1.04934911,2018-11-21
86,1.052035327,2018-12-03
87,1.133143653,2018-12-16
88,1.076394253,2018-12-27
89,1.200340674,2019-01-09
90,1.156396669,2019-01-20
91,1.175689833,2019-02-01
92,1.131880171,2019-02-26
93,1.126864493,2019-03-05
94,1.099670375,2019-03-09
95,1.182264591,2019-04-03
96,0.632550969,2019-04-10
97,0.676793395,2019-04-14
98,0.719959377,2019-04-22
99,0.698695965,2019-04-26
100,0.463903461,2019-05-04
101,0.535017503,2019-05-08
102,0.431674273,2019-05-16
103,0.403504185,2019-05-20
104,0.488703308,2019-05-28
105,0.453410256,2019-06-01
106,0.479090233,2019-06-09
107,0.403196255,2019-06-13
108,0.684549365,2019-06-26
109,0.579394649,2019-07-08
110,0.58999391,2019-07-20
111,0.166608592,2019-07-27
112,0.166880277,2019-08-01
113,0.324890047,2019-08-08
114,0.442150692,2019-08-12
115,0.464556519,2019-08-20
116,0.493434163,2019-08-24
