Key*,total,data
1,1.152694006,2015-02-22
2,0.905661549,2015-03-30
3,0.401887634,2015-05-17
4,0.363236586,2015-07-04
5,0.687218696,2015-08-21
6,0.445166301,2015-09-14
7,0.819686468,2015-10-08
8,0.808124501,2015-11-01
9,0.876500901,2015-11-25
10,1.128627787,2015-12-19
11,1.194624986,2016-01-12
12,1.123024459,2016-02-05
13,1.089074248,2016-02-29
14,1.132379318,2016-03-24
15,1.198516223,2016-04-05
16,1.136255387,2016-04-17
17,1.052247245,2016-04-29
18,1.005809068,2016-05-11
19,0.792217194,2016-05-23
20,0.906454705,2016-06-04
21,0.885797144,2016-06-28
22,0.768867192,2016-07-10
23,0.838179264,2016-07-22
24,0.722085232,2016-08-03
25,0.866096038,2016-08-15
26,0.811387514,2016-08-27
27,0.610219833,2016-09-08
28,0.753199364,2016-09-20
29,0.590184346,2016-10-02
30,0.832087228,2016-10-14
31,0.918023127,2016-10-26
32,1.104768126,2016-11-07
33,1.07987539,2016-11-19
34,0.889925956,2016-12-01
35,1.10394176,2016-12-13
36,1.144946186,2016-12-25
37,1.105390533,2017-01-06
38,1.220551356,2017-01-18
39,1.229349191,2017-01-30
40,0.994970837,2017-02-11
41,1.249676296,2017-02-23
42,1.262903682,2017-03-07
43,1.347595008,2017-03-19
44,1.625936652,2017-03-27
45,1.724924744,2017-04-08
46,1.628188517,2017-04-20
47,1.537907558,2017-05-02
48,1.573938018,2017-05-14
49,1.142778137,2017-05-18
50,1.230982539,2017-05-26
51,1.196426463,2017-05-30
52,1.509009787,2017-06-07
53,1.129349927,2017-06-11
54,1.46937602,2017-06-19
55,1.260476271,2017-06-23
56,1.486450067,2017-07-01
57,1.25400868,2017-07-05
58,1.345631228,2017-07-13
59,1.177486271,2017-07-17
60,1.170133862,2017-07-25
61,1.189897196,2017-07-29
62,1.398472999,2017-08-06
63,1.180820664,2017-08-10
64,1.21842275,2017-08-18
65,1.251798755,2017-08-22
66,1.329627359,2017-08-30
67,1.144327099,2017-09-03
68,1.429162745,2017-09-11
69,1.322086545,2017-09-15
70,1.563925354,2017-09-23
71,1.232638107,2017-09-27
72,1.388077957,2017-10-05
73,1.283457832,2017-10-09
74,1.255564117,2017-10-21
75,1.430294198,2017-10-29
76,1.212417876,2017-11-02
77,1.12290845,2017-11-10
78,1.146702383,2017-11-14
79,1.200412659,2017-11-22
80,1.040206423,2017-11-26
81,1.124389188,2017-12-04
82,1.184297907,2017-12-08
83,1.260528985,2017-12-16
84,1.197901577,2017-12-28
85,1.190775377,2018-01-01
86,1.43110038,2018-01-09
87,1.242443636,2018-01-13
88,1.397238593,2018-01-21
89,1.26744006,2018-01-25
90,1.439250354,2018-02-02
91,1.368625378,2018-02-06
92,1.584948917,2018-02-14
93,1.6818346,2018-02-26
94,1.575820734,2018-03-10
95,1.776797693,2018-03-22
96,1.775777173,2018-04-03
97,1.679076213,2018-04-15
98,1.808925854,2018-04-27
99,1.579628601,2018-05-21
100,1.329312913,2018-05-25
101,1.296623431,2018-06-06
102,1.378236789,2018-06-14
103,1.269686166,2018-06-18
104,1.39228739,2018-06-26
105,1.182016324,2018-06-30
106,1.159217167,2018-07-12
107,1.099794127,2018-07-24
108,1.132862262,2018-08-05
109,1.063896692,2018-08-17
110,1.253195185,2018-08-29
111,1.28154887,2018-09-06
112,1.20794297,2018-09-18
113,1.072594165,2018-10-16
114,1.152959804,2018-10-24
115,1.094817181,2018-10-28
116,1.061618939,2018-11-09
117,1.088644216,2018-11-17
118,1.148546136,2018-11-21
