Key*, total, data
1,1.309467918,10/07/2019
2,1.313305646,10/11/2019
3,1.318077248,12/06/2019
4,1.318077248,01/03/2020
5,1.320096291,02/14/2020
6,1.320096291,03/09/2020
7,1.294862431,03/23/2020
8,1.318785652,03/27/2020
9,1.267474366,04/20/2020
10,1.26856819,05/08/2020
11,1.272855191,05/22/2020
12,1.28972695,06/15/2020
13,1.299003209,07/13/2020
14,1.304283357,07/31/2020
15,1.299003209,08/14/2020
16,1.308996396,08/24/2020
17,1.299003209,09/07/2020
18,1.296271661,09/11/2020
19,1.312073539,10/05/2020
20,1.312261197,10/23/2020
21,1.312073539,11/06/2020
22,1.321979083,11/10/2020
23,1.315470243,11/30/2020
24,1.312145976,12/04/2020
25,1.312145976,12/28/2020
26,1.312261197,01/15/2021
27,1.312145976,01/29/2021
28,1.312145976,02/22/2021
29,1.306825404,03/18/2021
30,1.305152921,03/22/2021
31,1.307951496,04/23/2021
32,1.310605511,05/17/2021
33,1.304828593,06/14/2021
34,1.309179063,07/16/2021
35,1.302660783,07/26/2021
36,1.28614401,08/09/2021
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
