Key*,total,data
1,0.653814435,22-02-2015
2,0.54305277,30-03-2015
3,0.485567489,17-05-2015
4,0.42869369,04-07-2015
5,0.421966711,28-07-2015
6,0.570572214,21-08-2015
7,0.524706273,14-09-2015
8,0.62025135,08-10-2015
9,0.553448948,01-11-2015
10,0.605430376,25-11-2015
11,0.612768874,19-12-2015
12,0.642123096,12-01-2016
13,0.582191644,05-02-2016
14,0.627445974,29-02-2016
15,0.590753259,24-03-2016
16,0.66191321,05-04-2016
17,0.656188661,17-04-2016
18,0.616438213,29-04-2016
19,0.592758187,11-05-2016
20,0.565679883,23-05-2016
21,0.590141752,04-06-2016
22,0.568737629,28-06-2016
23,0.539383453,22-07-2016
24,0.469055691,03-08-2016
25,0.487402077,15-08-2016
26,0.472724952,27-08-2016
27,0.464163327,08-09-2016
28,0.461105614,20-09-2016
29,0.482308266,02-10-2016
30,0.596868709,14-10-2016
31,0.598703343,26-10-2016
32,0.628057525,07-11-2016
33,0.625611366,19-11-2016
34,0.598703332,01-12-2016
35,0.615215066,13-12-2016
36,0.631115263,25-12-2016
37,0.624999781,06-01-2017
38,0.628057525,18-01-2017
39,0.634172993,30-01-2017
40,0.613991978,11-02-2017
41,0.632949921,23-02-2017
42,0.642060739,07-03-2017
43,0.636098773,19-03-2017
44,0.610641759,27-03-2017
45,0.6219421,31-03-2017
46,0.645128148,08-04-2017
47,0.645792399,12-04-2017
48,0.618599037,20-04-2017
49,0.615819418,24-04-2017
50,0.552146796,02-05-2017
51,0.585520369,06-05-2017
52,0.577910835,14-05-2017
53,0.590753288,18-05-2017
54,0.587084026,26-05-2017
55,0.615826634,30-05-2017
56,0.588223192,07-06-2017
57,0.55834139,11-06-2017
58,0.624388345,19-06-2017
59,0.614603534,23-06-2017
60,0.605677426,01-07-2017
61,0.560787486,05-07-2017
62,0.492905933,13-07-2017
63,0.519814033,17-07-2017
64,0.529598719,25-07-2017
65,0.607876548,29-07-2017
66,0.561411072,06-08-2017
67,0.608013262,10-08-2017
68,0.555283667,18-08-2017
69,0.601480535,22-08-2017
70,0.520425539,30-08-2017
71,0.553437023,03-09-2017
72,0.55872984,11-09-2017
73,0.573018462,15-09-2017
74,0.508806186,23-09-2017
75,0.558341371,27-09-2017
76,0.554060586,05-10-2017
77,0.561399079,09-10-2017
78,0.570572285,21-10-2017
79,0.525317934,29-10-2017
80,0.629865789,02-11-2017
81,0.593811025,10-11-2017
82,0.609711179,14-11-2017
83,0.586472471,22-11-2017
84,0.598703349,26-11-2017
85,0.573629986,04-12-2017
86,0.617661258,08-12-2017
87,0.601149557,16-12-2017
88,0.591364829,28-12-2017
89,0.618272809,01-01-2018
90,0.599314924,09-01-2018
91,0.615215094,13-01-2018
92,0.598091826,21-01-2018
93,0.625611351,25-01-2018
94,0.59992647,02-02-2018
95,0.626834511,06-02-2018
96,0.572406949,14-02-2018
97,0.552225929,18-02-2018
98,0.529687484,26-02-2018
99,0.567876701,02-03-2018
100,0.530821802,10-03-2018
101,0.582191705,14-03-2018
102,0.574397435,22-03-2018
103,0.568737658,26-03-2018
104,0.530529271,03-04-2018
105,0.488625152,07-04-2018
106,0.525202819,15-04-2018
107,0.555439558,19-04-2018
108,0.544916152,27-04-2018
109,0.567272354,01-05-2018
110,0.498390735,09-05-2018
111,0.522260207,13-05-2018
112,0.477576562,21-05-2018
113,0.522209831,25-05-2018
114,0.393835592,02-06-2018
115,0.464163364,06-06-2018
116,0.46220161,14-06-2018
117,0.533222456,18-06-2018
118,0.44581696,26-06-2018
119,0.434245571,30-06-2018
120,0.495522442,08-07-2018
121,0.481898176,12-07-2018
122,0.429096593,20-07-2018
123,0.4941291,24-07-2018
124,0.476883471,01-08-2018
125,0.507220996,05-08-2018
126,0.493860507,17-08-2018
127,0.463803601,25-08-2018
128,0.507221002,29-08-2018
129,0.440313061,10-09-2018
130,0.458659483,18-09-2018
131,0.451932426,22-09-2018
132,0.448263144,30-09-2018
133,0.470890327,04-10-2018
134,0.495568006,12-10-2018
135,0.467832601,16-10-2018
136,0.423801338,24-10-2018
137,0.488625138,28-10-2018
138,0.457436336,05-11-2018
139,0.492905975,09-11-2018
140,0.480675067,17-11-2018
141,0.617661295,21-11-2018
142,0.593199487,29-11-2018
143,0.58463781,03-12-2018
144,0.601991385,11-12-2018
145,0.583414717,15-12-2018
146,0.551002797,23-12-2018
147,0.590141724,27-12-2018
148,0.579745504,04-01-2019
149,0.588918625,08-01-2019
150,0.585412471,16-01-2019
151,0.601149564,20-01-2019
152,0.581093279,28-01-2019
153,0.577196152,01-02-2019
154,0.579733488,09-02-2019
155,0.61269221,13-02-2019
156,0.573399793,21-02-2019
157,0.524888608,25-02-2019
158,0.514331607,05-03-2019
159,0.508019581,09-03-2019
160,0.489848286,17-03-2019
161,0.502688378,21-03-2019
162,0.46481569,29-03-2019
163,0.470890355,02-04-2019
164,0.505851552,10-04-2019
165,0.511835144,14-04-2019
166,0.508861269,22-04-2019
167,0.53639535,26-04-2019
168,0.460105498,04-05-2019
169,0.373043013,08-05-2019
170,0.45167105,16-05-2019
171,0.480063555,20-05-2019
172,0.418971328,28-05-2019
173,0.472003163,01-06-2019
174,0.466552001,09-06-2019
175,0.459882541,13-06-2019
176,0.400562605,21-06-2019
177,0.411426546,25-06-2019
178,0.494544021,07-07-2019
179,0.462561349,15-07-2019
180,0.467832633,19-07-2019
181,0.38674161,27-07-2019
182,0.383427331,31-07-2019
183,0.352291242,08-08-2019
184,0.464626232,12-08-2019
185,0.447040088,20-08-2019
186,0.375489218,01-09-2019
187,0.412193992,13-09-2019
188,0.384662418,17-09-2019
189,0.429283664,25-09-2019
190,0.411951761,29-09-2019
191,0.414182083,07-10-2019
192,0.403008784,19-10-2019
193,0.454378596,23-10-2019
194,0.56751455,31-10-2019
195,0.576687718,04-11-2019
196,0.578522343,10-11-2019
197,0.547945112,12-11-2019
198,0.58341475,16-11-2019
199,0.594422584,22-11-2019
200,0.544275798,24-11-2019
201,0.572406911,28-11-2019
202,0.589530209,04-12-2019
203,0.622956555,06-12-2019
204,0.579745448,10-12-2019
205,0.559564453,16-12-2019
206,0.577769372,18-12-2019
207,0.568126104,22-12-2019
208,0.601480515,28-12-2019
209,0.595513767,30-12-2019
210,0.575464613,03-01-2020
211,0.597480287,09-01-2020
212,0.590753331,11-01-2020
213,0.585148658,15-01-2020
214,0.566924603,21-01-2020
215,0.561399098,23-01-2020
216,0.585618731,27-01-2020
217,0.611392394,02-02-2020
218,0.582110136,04-02-2020
219,0.571450045,08-02-2020
220,0.573908237,14-02-2020
221,0.529826539,16-02-2020
