Key*,total,data
1,6.403381534,2015-02-22
2,4.632546229,2015-03-30
3,3.037961608,2015-05-17
4,3.231372336,2015-07-04
5,3.473728184,2015-07-28
6,3.508719002,2015-08-21
7,4.558561504,2015-09-14
8,5.548918897,2015-10-08
9,5.906789533,2015-11-01
10,4.974753863,2015-11-25
11,6.466664928,2015-12-19
12,6.426535689,2016-01-12
13,6.123816505,2016-02-05
14,5.892659244,2016-02-29
15,4.333207841,2016-03-24
16,5.597622386,2016-04-05
17,4.921891716,2016-04-17
18,4.074287206,2016-04-29
19,4.545988612,2016-05-11
20,3.508922268,2016-05-23
21,3.70213428,2016-06-04
22,4.149319017,2016-06-28
23,4.25197649,2016-07-10
24,4.49109082,2016-07-22
25,4.445085121,2016-08-03
26,4.601847325,2016-08-15
27,4.55330712,2016-08-27
28,4.731726052,2016-09-08
29,4.871270883,2016-09-20
30,5.431946688,2016-10-02
31,5.818895424,2016-10-14
32,5.764979111,2016-10-26
33,6.546762313,2016-11-07
34,6.409432727,2016-11-19
35,6.612622952,2016-12-13
36,6.569174597,2016-12-25
37,6.180199005,2017-01-06
38,6.331305793,2017-01-18
39,6.634514758,2017-01-30
40,6.585008361,2017-02-23
41,6.386553946,2017-03-07
42,6.384644145,2017-03-19
43,5.92985107,2017-03-31
44,6.085320914,2017-04-12
45,5.815675507,2017-04-24
46,5.938432642,2017-05-02
47,5.861050826,2017-05-06
48,5.883197803,2017-05-14
49,5.874304099,2017-05-18
50,5.986284794,2017-05-26
51,6.049460645,2017-05-30
52,5.861050042,2017-06-07
53,6.041426091,2017-06-11
54,6.015757597,2017-06-19
55,6.028189659,2017-06-23
56,6.0364011,2017-07-01
57,5.97550157,2017-07-05
58,6.194852123,2017-07-17
59,6.181810008,2017-07-29
60,6.39564795,2017-08-06
61,6.431191009,2017-08-10
62,6.607188913,2017-08-18
63,6.459234361,2017-08-22
64,6.566170424,2017-08-30
65,6.522460763,2017-09-03
66,6.738799249,2017-09-11
67,6.455854741,2017-09-15
68,6.557176483,2017-09-27
69,6.493114017,2017-10-05
70,6.55783413,2017-10-09
71,6.541134174,2017-10-21
72,6.530518656,2017-11-02
73,6.578380286,2017-11-14
74,6.443682181,2017-11-26
75,6.538455799,2017-12-08
76,6.489936193,2018-01-01
77,6.701271533,2018-02-06
78,6.230930396,2018-02-18
79,6.394467991,2018-03-02
80,6.361668086,2018-03-14
81,6.30314067,2018-03-26
82,5.883443257,2018-04-19
83,5.776144325,2018-05-01
84,5.800882125,2018-05-13
85,5.655034525,2018-05-25
86,5.694975684,2018-06-06
87,5.667928754,2018-06-18
88,5.587085892,2018-06-26
89,5.673540392,2018-06-30
90,5.51343604,2018-07-12
91,5.710608806,2018-07-24
92,5.723160384,2018-08-01
93,5.777849116,2018-08-05
94,5.945333617,2018-08-17
95,5.801451969,2018-08-25
96,6.032388141,2018-08-29
97,6.121553348,2018-09-06
98,6.325546343,2018-09-10
99,6.36835314,2018-09-18
100,6.315518587,2018-09-22
101,6.29662682,2018-10-04
102,6.359594233,2018-10-16
103,6.23475981,2018-10-28
104,6.060778224,2018-11-09
105,6.083511772,2018-11-17
106,6.288276599,2018-11-21
107,6.228356085,2018-12-03
108,5.976633254,2018-12-15
109,6.008955832,2018-12-23
110,6.27128125,2018-12-27
111,6.200486819,2019-01-08
112,6.387302416,2019-01-20
113,6.225362658,2019-02-01
114,6.261823366,2019-02-13
115,6.093939638,2019-02-25
116,5.876307669,2019-03-05
117,5.898659604,2019-03-09
118,5.773945438,2019-03-21
119,5.370430692,2019-03-29
120,5.631008537,2019-04-02
121,5.640173578,2019-04-10
122,5.417695789,2019-04-14
123,5.212179703,2019-04-22
124,5.477619786,2019-04-26
125,5.123946355,2019-05-04
126,4.954297679,2019-05-08
127,5.103682006,2019-05-16
128,5.192959066,2019-05-20
129,5.071980496,2019-05-28
130,5.141334939,2019-06-01
131,5.177695102,2019-06-09
132,5.14896655,2019-06-13
133,4.595097122,2019-06-21
134,4.951189699,2019-06-25
135,5.068933312,2019-07-07
136,4.865829926,2019-07-15
137,5.028938128,2019-07-19
138,4.692435811,2019-07-27
139,4.29583388,2019-08-08
140,5.173412914,2019-08-12
141,4.91411148,2019-08-20
142,5.047309708,2019-08-24
143,5.189673668,2019-09-01
144,5.440000965,2019-09-13
145,5.927506331,2019-09-17
146,6.263485047,2019-09-29
147,6.260420671,2019-10-11
148,6.152517793,2019-10-23
149,6.385932631,2019-10-31
150,6.304406065,2019-11-04
151,6.171909555,2019-11-10
152,6.347297587,2019-11-16
153,6.39247448,2019-11-22
154,6.393279774,2019-12-04
155,6.252295867,2019-12-10
156,6.158310929,2019-12-16
157,6.209011497,2019-12-22
158,6.323166971,2019-12-28
159,6.345374653,2020-01-09
160,6.405831915,2020-01-15
161,6.426767455,2020-01-21
162,6.41610167,2020-01-27
163,6.398579132,2020-02-02
164,6.191119655,2020-02-14
165,6.055746969,2020-02-20
166,5.847955374,2020-02-26
167,5.518259072,2020-03-03
168,5.847491767,2020-03-09
169,5.531653265,2020-03-15
170,5.432674004,2020-03-21
171,5.443510978,2020-03-27
172,5.345109607,2020-04-02
173,5.260752844,2020-04-08
174,4.98648649,2020-04-14
175,5.010825108,2020-04-20
176,4.48597386,2020-04-26
177,4.728907121,2020-05-02
178,4.22647951,2020-05-08
179,4.193287591,2020-05-10
180,4.629672871,2020-05-14
181,4.180541409,2020-05-20
182,3.832073778,2020-05-22
183,4.068855719,2020-06-01
184,4.344649346,2020-06-03
185,4.467027701,2020-06-13
186,4.284876371,2020-06-25
187,4.041522948,2020-06-27
188,4.328143836,2020-07-01
189,4.464869032,2020-07-07
190,4.569735148,2020-07-09
191,4.490650989,2020-07-13
192,4.708403463,2020-07-19
193,4.267553024,2020-07-21
194,4.743378096,2020-07-25
195,4.705997587,2020-07-31
196,4.797425326,2020-08-06
197,4.904070095,2020-08-12
198,4.678766282,2020-08-14
199,4.941114874,2020-08-18
200,5.037963189,2020-08-24
201,4.635418152,2020-08-26
202,5.057042585,2020-08-30
203,5.01563466,2020-09-05
204,4.886232341,2020-09-07
205,5.089963143,2020-09-11
206,5.150343339,2020-09-17
207,4.940604671,2020-09-19
208,5.322811745,2020-09-23
209,5.59661496,2020-09-29
210,5.705125481,2020-10-05
211,5.801741712,2020-10-11
212,5.315199339,2020-10-13
213,5.911101126,2020-10-17
214,6.170959994,2020-10-23
215,5.97547479,2020-10-25
216,6.165331518,2020-10-29
217,6.205803331,2020-11-04
218,6.148020158,2020-11-06
219,6.025223505,2020-11-10
220,6.027123051,2020-11-22
221,6.148601597,2020-11-28
222,6.198534028,2020-12-10
223,6.279010709,2020-12-28
224,6.277406449,2021-01-15
225,6.146977042,2021-01-21
226,6.228034458,2021-02-14
227,6.278913153,2021-02-20
228,6.0833276,2021-02-26
229,5.95684181,2021-03-04
230,4.937841182,2021-03-06
231,5.440964659,2021-03-10
232,5.532143304,2021-03-16
233,5.072639136,2021-03-22
234,5.49720905,2021-03-28
235,5.605299844,2021-03-30
236,5.204698565,2021-04-03
237,5.256114726,2021-04-09
238,5.380033116,2021-04-15
239,5.105612093,2021-04-21
