Key*, total, data
1,0.37,07/19/2019
2,0.69,10/07/2019
3,0.77,11/04/2019
4,0.87,12/16/2019
5,0.86,01/03/2020
6,0.76,02/14/2020
7,0.73,02/21/2020
8,0.70,02/28/2020
9,0.65,03/09/2020
10,0.62,03/16/2020
11,0.58,03/23/2020
12,0.46,04/20/2020
13,0.41,05/08/2020
14,0.39,05/15/2020
15,0.37,05/22/2020
16,0.36,06/01/2020
17,0.39,06/08/2020
18,0.40,07/13/2020
19,0.43,07/31/2020
20,0.45,08/07/2020
21,0.48,08/14/2020
22,0.63,08/24/2020
23,0.69,08/31/2020
24,0.75,09/07/2020
25,0.80,09/11/2020
26,0.89,10/05/2020
27,0.89,10/23/2020
28,0.89,10/30/2020
29,0.89,11/06/2020
30,0.87,12/28/2020
31,0.86,01/15/2021
32,0.85,01/22/2021
33,0.83,01/29/2021
34,0.79,02/22/2021
35,0.66,03/16/2021
36,0.57,03/30/2021
37,0.50,04/16/2021
38,0.42,05/17/2021
39,0.38,07/16/2021
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
