Key*,total,data
1,0.216608882,2015-02-22
2,0.141622446,2015-03-30
3,0.059925589,2015-05-17
4,0.052486604,2015-07-04
5,0.06526732,2015-07-28
6,0.081767884,2015-08-21
7,0.111405472,2015-09-14
8,0.118114297,2015-10-08
9,0.11915649,2015-11-01
10,0.142920387,2015-11-25
11,0.15161653,2015-12-19
12,0.189180446,2016-01-12
13,0.137800806,2016-02-05
14,0.120747098,2016-02-29
15,0.115112444,2016-03-24
16,0.115796109,2016-04-05
17,0.10739965,2016-04-17
18,0.121698373,2016-04-29
19,0.064385341,2016-05-11
20,0.029053121,2016-05-23
21,0.036541522,2016-06-04
22,0.103007676,2016-06-28
23,0.119688471,2016-07-10
24,0.12193568,2016-07-22
25,0.122744212,2016-08-03
26,0.157891743,2016-08-15
27,0.173831333,2016-08-27
28,0.152530282,2016-09-08
29,0.165655694,2016-09-20
30,0.179278733,2016-10-02
31,0.175521408,2016-10-14
32,0.178793054,2016-10-26
33,0.185587717,2016-11-07
34,0.194895876,2016-11-19
35,0.184206303,2016-12-01
36,0.189851474,2016-12-13
37,0.208765116,2016-12-25
38,0.212889588,2017-01-06
39,0.2254377,2017-01-18
40,0.206681071,2017-01-30
41,0.199824197,2017-02-11
42,0.202971815,2017-02-23
43,0.208766899,2017-03-07
44,0.212459835,2017-03-19
45,0.201906837,2017-03-20
46,0.176647028,2017-03-31
47,0.196074783,2017-04-01
48,0.193349288,2017-04-12
49,0.201375676,2017-04-13
50,0.186320317,2017-04-24
51,0.185071147,2017-04-25
52,0.178696672,2017-05-06
53,0.150074654,2017-05-14
54,0.153277183,2017-05-18
55,0.166005993,2017-05-19
56,0.155806693,2017-05-30
57,0.171992017,2017-05-31
58,0.161892245,2017-06-11
59,0.168059317,2017-06-12
60,0.170905783,2017-06-23
61,0.176270367,2017-06-24
62,0.165445858,2017-07-01
63,0.169475983,2017-07-05
64,0.176066709,2017-07-06
65,0.160843903,2017-07-13
66,0.164348858,2017-07-17
67,0.169230048,2017-07-18
68,0.163405787,2017-07-25
69,0.168399779,2017-07-29
70,0.173652053,2017-07-30
71,0.171786896,2017-08-10
72,0.181340031,2017-08-11
73,0.176855758,2017-08-22
74,0.206086487,2017-08-23
75,0.210935187,2017-09-04
76,0.179863803,2017-09-11
77,0.191543779,2017-09-15
78,0.200541727,2017-09-16
79,0.179203781,2017-09-27
80,0.188283227,2017-09-28
81,0.193744651,2017-10-09
82,0.197621727,2017-10-10
83,0.192196383,2017-10-21
84,0.199461205,2017-10-22
85,0.194724886,2017-11-02
86,0.194918283,2017-11-03
87,0.191632364,2017-11-14
88,0.194448702,2017-11-15
89,0.184805027,2017-11-26
90,0.198872778,2017-11-27
91,0.205361304,2017-12-08
92,0.205173101,2017-12-09
93,0.213991976,2017-12-21
94,0.202239845,2018-01-01
95,0.211394137,2018-01-02
96,0.206604724,2018-01-13
97,0.221464774,2018-01-14
98,0.209605312,2018-01-25
99,0.207556775,2018-01-26
100,0.218145788,2018-02-06
101,0.22526356,2018-02-07
102,0.197512168,2018-02-14
103,0.21928093,2018-02-18
104,0.219023859,2018-02-19
105,0.216538897,2018-03-02
106,0.213803278,2018-03-03
107,0.210475877,2018-03-14
108,0.21796721,2018-03-15
109,0.197989406,2018-03-26
110,0.216385505,2018-03-27
111,0.186214028,2018-04-07
112,0.209477674,2018-04-08
113,0.209375747,2018-04-19
114,0.206245481,2018-04-20
115,0.175070832,2018-05-01
116,0.187189866,2018-05-02
117,0.070694816,2018-05-21
118,0.073098007,2018-05-25
119,0.046811427,2018-06-02
120,0.062806927,2018-06-06
121,0.079788732,2018-06-07
122,0.051636801,2018-06-14
123,0.066876266,2018-06-18
124,0.065048212,2018-06-19
125,0.048027299,2018-06-26
126,0.058883433,2018-06-30
127,0.044813904,2018-07-08
128,0.058361981,2018-07-12
129,0.053445593,2018-07-13
130,0.06018613,2018-07-20
131,0.065999897,2018-07-24
132,0.068306302,2018-08-01
133,0.080617379,2018-08-05
134,0.090821603,2018-08-17
135,0.095121785,2018-08-25
136,0.101346359,2018-08-29
137,0.101938934,2018-09-06
138,0.120157111,2018-09-10
139,0.128536131,2018-09-18
140,0.13378693,2018-09-22
141,0.137890844,2018-09-23
142,0.138727449,2018-09-30
143,0.146339458,2018-10-04
144,0.158877031,2018-10-16
145,0.15573455,2018-10-17
146,0.159224784,2018-10-28
147,0.159540924,2018-10-29
148,0.152159061,2018-11-09
149,0.160992217,2018-11-10
150,0.146622468,2018-11-17
151,0.153811538,2018-11-21
152,0.166926072,2018-12-03
153,0.168262391,2018-12-04
154,0.171900172,2018-12-16
155,0.144114397,2018-12-23
156,0.157783747,2018-12-27
157,0.168993777,2018-12-28
158,0.156421115,2019-01-08
159,0.162682584,2019-01-09
160,0.159210467,2019-01-20
161,0.170134914,2019-01-21
162,0.182041772,2019-02-01
163,0.187316347,2019-02-02
164,0.156286266,2019-02-13
165,0.166202539,2019-02-14
166,0.144068318,2019-02-21
167,0.151106711,2019-02-25
168,0.16070007,2019-03-10
169,0.158141025,2019-03-22
170,0.149248005,2019-04-03
171,0.085380763,2019-04-10
172,0.08029406,2019-04-15
173,0.09206911,2019-04-22
174,0.068925151,2019-05-04
175,0.086229929,2019-05-08
176,0.078307809,2019-05-09
177,0.060702421,2019-05-16
178,0.096282581,2019-05-20
179,0.068136023,2019-05-28
180,0.077714632,2019-06-01
181,0.077946503,2019-06-09
182,0.08281245,2019-06-13
183,0.071302747,2019-06-21
184,0.081985184,2019-06-25
185,0.073147016,2019-07-03
186,0.077396512,2019-07-07
187,0.062096808,2019-07-15
188,0.078641693,2019-07-19
189,0.06791567,2019-07-27
190,0.070260598,2019-07-31
191,0.079638212,2019-08-01
192,0.109885088,2019-08-08
193,0.141113814,2019-08-12
194,0.126712285,2019-08-20
195,0.127784792,2019-08-24
196,0.125062166,2019-09-01
197,0.129682542,2019-09-05
198,0.130794189,2019-09-13
199,0.144362038,2019-09-17
200,0.167317725,2019-09-29
201,0.170203301,2019-09-30
202,0.127801561,2019-10-07
203,0.172883217,2019-10-11
204,0.17308886,2019-10-12
205,0.136047661,2019-10-19
206,0.158672673,2019-10-23
207,0.172130306,2019-10-24
208,0.160409655,2019-10-31
209,0.168203232,2019-11-04
210,0.17556958,2019-11-05
211,0.166489076,2019-11-12
212,0.181262269,2019-11-16
213,0.181871232,2019-11-17
