Key*, total, data
1,1.05,12/27/2018
2,1.05,01/04/2019
3,1.05,01/16/2019
4,1.05,01/20/2019
5,1.00,02/25/2019
6,0.99,03/05/2019
7,0.96,05/04/2019
8,0.97,05/20/2019
9,0.97,06/21/2019
10,0.97,06/25/2019
11,0.97,07/03/2019
12,0.97,07/07/2019
13,0.97,07/15/2019
14,0.97,07/19/2019
15,0.97,07/31/2019
16,0.98,08/08/2019
17,0.98,08/12/2019
18,0.98,08/20/2019
19,1.00,09/05/2019
20,1.05,09/13/2019
21,1.05,09/17/2019
22,1.05,09/25/2019
23,1.05,10/07/2019
24,1.05,10/11/2019
25,1.05,10/23/2019
26,1.05,10/31/2019
27,1.05,11/04/2019
28,1.05,11/12/2019
29,1.05,11/22/2019
30,1.05,12/04/2019
31,1.05,12/16/2019
32,1.05,12/18/2019
33,1.05,12/30/2019
34,1.05,01/03/2020
35,1.05,01/09/2020
36,1.05,01/15/2020
37,1.05,01/21/2020
38,1.05,02/04/2020
39,1.03,02/14/2020
40,1.03,02/20/2020
41,1.02,02/26/2020
42,1.02,03/03/2020
43,1.00,03/11/2020
44,0.99,03/23/2020
45,0.99,03/27/2020
46,0.99,04/08/2020
47,0.98,04/14/2020
48,0.98,04/16/2020
49,0.98,04/20/2020
50,0.97,05/08/2020
51,0.97,05/20/2020
52,0.96,05/22/2020
53,0.96,05/26/2020
54,0.96,06/15/2020
55,0.96,06/25/2020
56,0.96,07/01/2020
57,0.96,07/07/2020
58,0.96,07/09/2020
59,0.96,07/13/2020
60,0.96,07/21/2020
61,0.96,07/31/2020
62,0.96,08/06/2020
63,0.97,08/14/2020
64,0.97,08/18/2020
65,0.97,08/24/2020
66,0.97,08/26/2020
67,0.98,09/07/2020
68,0.99,09/11/2020
69,0.99,09/17/2020
70,1.00,09/23/2020
71,1.02,10/01/2020
72,1.03,10/05/2020
73,1.05,10/13/2020
74,1.05,10/23/2020
75,1.05,11/06/2020
76,1.05,11/10/2020
77,1.05,11/12/2020
78,0.00,11/30/2020
79,1.05,12/04/2020
80,1.05,12/10/2020
81,1.05,12/16/2020
82,1.05,12/22/2020
83,1.05,12/24/2020
84,1.05,01/05/2021
85,1.05,01/15/2021
86,1.05,01/21/2021
87,1.05,01/27/2021
88,1.05,01/29/2021
89,1.05,02/22/2021
90,1.03,02/26/2021
91,1.03,03/04/2021
92,1.01,03/10/2021
93,1.01,03/16/2021
94,1.00,04/15/2021
95,0.99,04/23/2021
96,0.99,04/27/2021
97,0.99,05/05/2021
98,1.00,05/17/2021
99,1.00,06/14/2021
100,0.99,07/02/2021
101,0.98,07/08/2021
102,0.98,07/16/2021
103,0.98,07/20/2021
104,0.98,07/26/2021
105,0.98,08/31/2021
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
