Key*,total,data
1,0.370138849,2015-02-22
2,0.225509067,2015-03-30
3,0.213285291,2015-05-17
4,0.233517755,2015-07-04
5,0.257122447,2015-07-28
6,0.195160147,2015-08-21
7,0.220029366,2015-09-14
8,0.261337872,2015-10-08
9,0.232253233,2015-11-01
10,0.201061332,2015-11-25
11,0.289578826,2015-12-19
12,0.299271959,2016-01-12
13,0.326995877,2016-02-05
14,0.321506248,2016-02-29
15,0.30787416,2016-03-24
16,0.248270697,2016-04-05
17,0.282348904,2016-04-17
18,0.321844066,2016-04-29
19,0.259334382,2016-05-11
20,0.23899742,2016-05-23
21,0.278619535,2016-06-04
22,0.277776484,2016-06-28
23,0.269767754,2016-07-10
24,0.278619548,2016-07-22
25,0.27187532,2016-08-03
26,0.260072982,2016-08-15
27,0.28494217,2016-08-27
28,0.27819803,2016-09-08
29,0.288858298,2016-09-20
30,0.28241318,2016-10-14
31,0.261759044,2016-10-26
32,0.277776505,2016-11-07
33,0.263866601,2016-11-19
34,0.246584608,2016-12-01
35,0.254593313,2016-12-13
36,0.265552643,2016-12-25
37,0.266817186,2017-01-06
38,0.273139864,2017-01-18
39,0.274825945,2017-01-30
40,0.262760731,2017-02-11
41,0.295901446,2017-02-23
42,0.286553859,2017-03-07
43,0.291580579,2017-03-19
44,0.291714651,2017-03-27
45,0.282793366,2017-03-31
46,0.340765526,2017-04-08
47,0.334213077,2017-04-12
48,0.378812912,2017-04-24
49,0.353859226,2017-05-02
50,0.347265237,2017-05-14
51,0.292108037,2017-05-18
52,0.265552682,2017-05-26
53,0.268081687,2017-05-30
54,0.276512008,2017-06-07
55,0.265131098,2017-06-11
56,0.271453821,2017-06-19
57,0.270189265,2017-06-23
58,0.293190711,2017-07-01
59,0.255014842,2017-07-05
60,0.267177602,2017-07-13
61,0.270189257,2017-07-17
62,0.238154344,2017-07-25
63,0.247427588,2017-07-29
64,0.276933445,2017-08-06
65,0.260072948,2017-08-10
66,0.265131093,2017-08-18
67,0.263023553,2017-08-22
68,0.257682749,2017-08-30
69,0.284099179,2017-09-03
70,0.308704068,2017-09-11
71,0.295480221,2017-09-15
72,0.314840371,2017-09-23
73,0.310251448,2017-09-27
74,0.31571298,2017-10-05
75,0.276090506,2017-10-09
76,0.267089971,2017-10-21
77,0.245320123,2017-10-29
78,0.257122401,2017-11-02
79,0.211177602,2017-11-10
80,0.260072984,2017-11-14
81,0.241104948,2017-11-22
82,0.257122417,2017-11-26
83,0.230145645,2017-12-04
84,0.255857878,2017-12-08
85,0.215814242,2017-12-16
