Key*,total,data
1,7.705,2015-02-18
2,8.601,2015-02-22
3,8.197,2015-03-30
4,7.459,2015-05-17
5,7.264,2015-07-04
6,7.158,2015-07-28
7,7.042,2015-08-21
8,6.538,2015-09-14
9,6.329,2015-09-30
10,6.754,2015-10-08
11,6.721,2015-11-01
12,7.593,2015-11-25
13,8.277,2015-12-19
14,9.021,2016-01-12
15,8.988,2016-02-05
16,9.499,2016-02-29
17,8.805,2016-03-24
18,10.372,2016-04-05
19,10.823,2016-04-17
20,11.137,2016-05-11
21,8.169,2016-06-04
22,7.318,2016-06-28
23,7.143,2016-07-10
24,7.486,2016-07-22
25,7.326,2016-08-03
26,7.352,2016-08-15
27,7.43,2016-08-27
28,7.338,2016-09-08
29,7.227,2016-09-20
30,7.489,2016-10-02
31,7.288,2016-10-14
32,7.316,2016-10-26
33,7.517,2016-11-07
34,7.661,2016-11-19
35,8.025,2016-12-01
36,7.41,2016-12-13
37,7.932,2016-12-25
38,8.338,2017-01-06
39,8.388,2017-01-18
40,8.994,2017-01-30
41,9.561,2017-02-11
42,9.087,2017-02-23
43,9.744,2017-03-07
44,9.095,2017-04-01
45,8.412,2017-04-12
46,7.661,2017-04-20
47,7.506,2017-05-02
48,8.35,2017-05-06
49,8.487,2017-05-07
50,8.105,2017-05-14
51,7.681,2017-05-18
52,8.086,2017-05-19
53,7.982,2017-05-26
54,7.651,2017-05-30
55,8.447,2017-05-31
56,7.526,2017-06-11
57,8.07,2017-06-12
58,7.391,2017-06-19
59,7.876,2017-06-23
60,7.99,2017-06-24
61,7.416,2017-07-01
62,7.938,2017-07-05
63,8.16,2017-07-06
64,8.635,2017-07-13
65,7.914,2017-07-17
66,8.207,2017-07-18
67,7.637,2017-07-25
68,8.132,2017-07-29
69,8.125,2017-07-30
70,8.314,2017-08-10
71,8.66,2017-08-11
72,8.082,2017-08-22
73,8.451,2017-08-23
74,7.553,2017-08-30
75,8.002,2017-09-03
76,8.441,2017-09-04
77,7.758,2017-09-11
78,7.997,2017-09-15
79,8.134,2017-09-16
80,7.256,2017-09-23
81,7.778,2017-09-27
82,8.283,2017-09-28
83,7.95,2017-10-05
84,7.871,2017-10-09
85,8.452,2017-10-10
86,7.827,2017-10-21
87,8.347,2017-10-22
88,7.996,2017-11-02
89,8.448,2017-11-03
90,8.073,2017-11-14
91,8.608,2017-11-15
92,8.032,2017-11-26
93,8.956,2017-11-27
94,9.522,2017-12-09
95,9.421,2017-12-21
96,10.11,2018-01-02
97,10.536,2018-01-14
98,10.627,2018-01-26
99,11.267,2018-02-07
100,11.306,2018-02-19
101,11.696,2018-03-03
102,10.783,2018-03-14
103,11.47,2018-03-15
104,11.904,2018-03-27
105,12.184,2018-04-08
106,12.624,2018-04-20
107,11.192,2018-05-02
108,10.959,2018-05-14
109,10.7,2018-05-26
110,8.515,2018-06-06
111,8.468,2018-06-18
112,8.227,2018-06-26
113,8.463,2018-06-30
114,9.051,2018-07-01
115,8.683,2018-07-12
116,8.731,2018-07-13
117,8.3,2018-07-24
118,8.55,2018-08-05
119,8.657,2018-08-17
120,8.183,2018-08-25
121,8.462,2018-08-29
122,8.528,2018-08-30
123,8.369,2018-09-10
124,8.328,2018-09-18
125,8.385,2018-09-22
126,8.175,2018-10-04
127,8.237,2018-10-16
128,8.631,2018-10-17
129,8.197,2018-10-24
130,8.512,2018-10-28
131,9.239,2018-10-29
132,9.27,2018-11-10
133,9.31,2018-11-22
134,9.49,2018-12-04
135,10.019,2018-12-16
136,10.401,2018-12-28
137,10.215,2019-01-09
138,10.376,2019-01-21
139,10.561,2019-02-02
140,11.019,2019-02-14
141,9.708,2019-02-25
142,10.219,2019-02-26
143,10.269,2019-03-10
144,9.481,2019-04-03
145,7.891,2019-04-15
146,8.489,2019-04-27
147,4.523,2019-05-04
148,4.491,2019-05-08
149,5.376,2019-05-20
150,5.889,2019-06-01
151,4.491,2019-06-09
152,4.89,2019-06-13
153,4.675,2019-06-21
154,6.122,2019-07-03
155,6.591,2019-07-08
156,5.298,2019-07-15
157,4.011,2019-07-19
158,5.029,2019-07-20
159,4.601,2019-07-27
160,5.996,2019-07-31
161,6.541,2019-08-01
162,6.372,2019-08-08
163,4.729,2019-08-20
164,5.154,2019-08-24
165,5.441,2019-08-25
166,6.064,2019-09-01
167,6.742,2019-09-13
168,6.362,2019-09-29
169,6.567,2019-09-30
170,6.443,2019-10-12
171,5.983,2019-10-19
172,6.646,2019-11-10
173,7.08,2019-11-28
174,7.068,2019-12-04
175,6.516,2019-12-10
176,5.974,2019-12-16
177,6.057,2019-12-22
178,6.237,2019-12-28
179,5.933,2020-01-03
180,6.174,2020-01-09
181,6.09,2020-01-11
182,6.548,2020-01-15
183,6.649,2020-01-16
184,5.958,2020-01-21
185,5.585,2020-01-28
186,5.171,2020-02-04
187,5.36,2020-02-28
188,5.433,2020-03-21
189,5.118,2020-03-27
190,5.577,2020-04-02
191,4.324,2020-04-28
192,4.206,2020-05-02
193,3.463,2020-05-08
194,3.168,2020-05-20
195,3.085,2020-05-26
196,3.491,2020-06-01
197,3.068,2020-06-03
198,3.617,2020-06-13
199,3.162,2020-07-02
200,3.588,2020-07-09
201,3.742,2020-07-19
202,3.637,2020-07-21
203,3.526,2020-07-25
204,4.897,2020-07-26
205,5.072,2020-07-31
206,4.545,2020-08-06
207,4.79,2020-08-12
208,4.789,2020-08-14
209,4.887,2020-08-24
210,3.894,2020-08-30
211,3.907,2020-09-05
212,3.925,2020-09-07
213,4.319,2020-09-12
214,4.169,2020-09-17
215,4.461,2020-09-24
216,4.081,2020-10-05
217,4.599,2020-10-13
218,4.854,2020-10-29
219,4.817,2020-10-31
220,5.082,2020-11-04
221,4.093,2020-11-18
222,5.412,2020-11-28
223,5.162,2020-12-24
224,5.018,2020-12-28
225,5.573,2021-01-05
226,5.131,2021-01-15
227,5.194,2021-01-17
228,5.69,2021-02-02
229,4.329,2021-02-10
230,5.233,2021-02-22
231,5.469,2021-02-26
232,5.317,2021-03-04
233,4.577,2021-03-06
234,3.657,2021-03-28
235,3.522,2021-04-09
236,2.972,2021-04-11
237,2.865,2021-04-23
238,2.716,2021-05-03
239,3.141,2021-05-05
240,3.156,2021-05-09
241,2.323,2021-05-29
242,2.456,2021-06-10
243,2.832,2021-06-22
244,2.957,2021-06-26
245,2.884,2021-07-02
246,3.223,2021-07-04
247,2.466,2021-07-08
248,1.789,2021-07-14
249,1.912,2021-07-16
250,3.153,2021-07-20
251,2.808,2021-07-21
252,3.542,2021-07-26
253,3.226,2021-07-28
