Key*,total,data
1,87.136,03-03-2014
2,74.065,19-03-2014
3,41.454,22-05-2014
4,108.021,02-02-2015
5,60.034,22-03-2015
6,77.071,03-06-2015
7,74.657,13-08-2015
8,38.562,16-10-2015
9,55.268,17-11-2015
10,109.099,20-01-2016
11,37.861,24-03-2016
12,66.763,03-08-2016
13,53.440,04-01-2017
14,115.950,30-01-2017
15,90.938,23-02-2017
16,74.498,19-03-2017
17,52.793,31-03-2017
18,35.418,18-04-2017
19,31.723,20-04-2017
20,29.348,24-04-2017
21,29.303,28-04-2017
22,32.458,14-05-2017
23,34.420,18-05-2017
24,45.559,26-05-2017
25,49.458,17-06-2017
26,39.211,23-06-2017
27,83.845,03-07-2017
28,67.933,06-07-2017
29,88.694,17-07-2017
30,78.047,29-07-2017
31,110.357,12-08-2017
32,105.658,21-08-2017
33,109.335,22-08-2017
34,115.648,30-08-2017
35,119.427,15-09-2017
36,108.347,02-11-2017
37,106.814,14-11-2017
38,86.958,19-12-2017
39,90.091,21-12-2017
40,91.038,08-01-2018
41,119.910,23-01-2018
42,116.609,26-01-2018
43,87.501,03-02-2018
44,103.920,14-02-2018
45,105.358,19-02-2018
46,87.771,03-03-2018
47,77.720,14-03-2018
48,73.584,19-03-2018
49,68.971,24-03-2018
50,64.051,26-03-2018
51,59.656,27-03-2018
52,31.427,13-04-2018
53,28.392,18-04-2018
54,27.492,23-04-2018
55,27.041,28-04-2018
56,27.921,13-05-2018
57,28.092,14-05-2018
58,28.125,18-05-2018
59,28.295,21-05-2018
60,30.167,25-05-2018
61,30.803,26-05-2018
62,30.809,28-05-2018
63,49.807,14-06-2018
64,58.496,17-06-2018
65,59.571,18-06-2018
66,60.005,19-06-2018
67,60.438,22-06-2018
68,65.845,26-06-2018
69,60.631,27-06-2018
70,61.668,30-06-2018
71,55.573,13-07-2018
72,86.882,24-07-2018
73,87.965,25-07-2018
74,93.147,17-08-2018
75,92.282,25-08-2018
76,94.222,30-08-2018
77,117.145,22-09-2018
78,130.893,25-10-2018
79,133.044,30-10-2018
80,104.263,21-11-2018
81,55.087,07-12-2018
82,82.870,19-12-2018
83,96.972,02-01-2019
84,109.092,09-01-2019
85,116.761,13-01-2019
86,115.207,20-01-2019
87,113.322,21-01-2019
88,106.825,28-01-2019
89,97.589,02-02-2019
90,88.752,13-02-2019
91,87.323,14-02-2019
92,81.270,25-02-2019
93,77.935,26-02-2019
94,37.252,07-03-2019
95,57.374,14-03-2019
96,55.064,17-03-2019
97,29.238,29-03-2019
98,25.819,14-04-2019
99,25.466,22-04-2019
100,17.910,16-05-2019
101,21.981,18-05-2019
102,22.403,20-05-2019
103,23.478,23-05-2019
104,23.509,28-05-2019
105,31.010,13-06-2019
106,31.299,14-06-2019
107,35.110,25-06-2019
108,37.279,07-07-2019
109,38.671,15-07-2019
110,38.077,19-07-2019
111,38.186,20-07-2019
112,36.465,31-07-2019
113,37.806,07-08-2019
114,95.444,21-08-2019
115,110.483,15-09-2019
116,110.810,17-09-2019
117,111.494,18-09-2019
118,111.911,25-09-2019
119,112.022,29-09-2019
120,113.262,10-10-2019
121,109.871,08-12-2019
122,89.749,16-02-2020
123,74.103,03-03-2020
124,44.232,19-03-2020
125,24.853,08-01-2021
126,22.002,06-02-2021
127,23.227,08-02-2021
128,44.591,04-03-2021
129,58.583,23-03-2021
130,46.796,28-03-2021
131,39.758,30-03-2021
132,49.537,04-04-2021
133,45.689,16-04-2021
134,34.315,28-04-2021
135,32.188,15-05-2021
136,39.849,22-05-2021
137,25.073,09-06-2021
138,17.101,14-06-2021
139,20.192,15-06-2021
140,17.202,20-06-2021
141,21.142,27-06-2021
142,22.388,08-07-2021
143,30.047,09-07-2021
144,18.412,20-07-2021
145,18.339,21-07-2021
146,25.098,26-07-2021
147,18.801,13-08-2021
148,23.227,14-08-2021
149,22.869,21-08-2021
150,19.830,25-08-2021
151,21.625,26-08-2021
152,20.740,31-08-2021
153,35.705,04-09-2021
154,37.336,14-09-2021
155,90.881,24-09-2021
156,90.669,26-09-2021
157,105.247,30-09-2021
158,111.706,13-10-2021
159,112.093,18-10-2021
160,113.124,24-10-2021
161,116.210,25-10-2021
162,118.456,30-10-2021
163,124.858,12-11-2021
164,123.013,17-11-2021
165,124.577,18-11-2021
166,123.049,23-11-2021
167,122.099,30-11-2021
168,111.292,10-12-2021
169,124.754,12-12-2021
170,123.369,17-12-2021
171,123.323,23-12-2021
172,124.826,24-12-2021
173,117.608,16-01-2022
174,121.827,01-04-2022
175,123.209,01-05-2022
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
