Key*, total, data
1,0.316148377,30/03/2015
2,0.238682394,28/07/2015
3,0.270996528,21/08/2015
4,0.523804621,14/09/2015
5,1.462322617,25/11/2015
6,1.451428058,12/01/2016
7,0.994606085,29/02/2016
8,0.478354912,24/03/2016
9,0.095269699,05/04/2016
10,0.384223747,04/06/2016
11,0.012357164,28/06/2016
12,0.060528809,22/07/2016
13,0.146936814,15/08/2016
14,0.116086916,08/09/2016
15,0.231531458,20/09/2016
16,0.384223747,14/10/2016
17,0.419108117,26/10/2016
18,1.428782935,01/12/2016
19,1.535821486,13/12/2016
20,0.73680332,06/01/2017
21,1.474180062,18/01/2017
22,1.474180062,11/02/2017
23,1.428782935,23/02/2017
24,0.833398607,27/03/2017
25,1.535821486,12/04/2017
26,0.507115094,20/04/2017
27,0.497125218,24/04/2017
28,0.813578248,06/05/2017
29,0.544085789,18/05/2017
30,0.703600389,26/05/2017
31,0.703600389,30/05/2017
32,0.856919451,07/06/2017
33,1.514864084,11/06/2017
34,0.903032494,19/06/2017
35,0.813578248,23/06/2017
36,0.813578248,13/07/2017
37,0.837976099,17/07/2017
38,0.934236274,25/07/2017
39,0.813578248,06/08/2017
40,1.285490184,22/08/2017
41,1.3519894,30/08/2017
42,1.112145836,03/09/2017
43,1.514864084,11/09/2017
44,1.3519894,15/09/2017
45,1.451428058,27/09/2017
46,0.544085789,05/10/2017
47,1.474180062,10/11/2017
48,1.474180062,14/11/2017
49,1.491085106,28/12/2017
50,1.428782935,25/01/2018
51,0.616502096,14/03/2018
52,0.616502096,22/03/2018
53,0.483334315,26/03/2018
54,0.060528809,07/04/2018
55,0.146936814,19/04/2018
56,0.102897741,27/04/2018
57,0.102897741,21/05/2018
58,0.102897741,14/06/2018
59,0.102897741,18/06/2018
60,0.116086916,24/07/2018
61,0.102897741,05/08/2018
62,0.304652743,17/08/2018
63,0.384223747,29/08/2018
64,1.451428058,10/09/2018
65,0.903032494,18/09/2018
66,1.428782935,12/10/2018
67,1.451428058,16/10/2018
68,1.437976058,24/10/2018
69,1.474180062,21/11/2018
70,1.451428058,29/11/2018
71,1.43316642,11/12/2018
72,1.437976058,27/12/2018
73,1.43316642,16/01/2019
74,1.425166768,28/01/2019
75,1.457132039,01/02/2019
76,1.491085106,09/02/2019
77,1.285490184,13/02/2019
78,1.159939508,21/02/2019
79,1.151542108,25/02/2019
80,1.491085106,09/03/2019
81,0.670047279,21/03/2019
82,0.509625337,29/03/2019
83,0.442107082,22/04/2019
84,0.4013079,26/04/2019
85,0.505040204,04/05/2019
86,0.837976099,08/05/2019
87,0.38328825,16/05/2019
88,0.4013079,20/05/2019
89,0.590864747,28/05/2019
90,1.491085106,09/06/2019
