Key*,total,data
1,4.33915317,22-02-2015
2,3.228983244,30-03-2015
3,2.47880855,17-05-2015
4,2.319370516,04-07-2015
5,3.213293224,28-07-2015
6,2.94753219,21-08-2015
7,3.764142844,14-09-2015
8,3.744814915,08-10-2015
9,3.735150838,01-11-2015
10,3.986415884,25-11-2015
11,3.778639288,19-12-2015
12,4.179696425,12-01-2016
13,3.909103564,05-02-2016
14,3.753892029,29-02-2016
15,3.406820421,24-03-2016
16,3.336784364,05-04-2016
17,3.115838438,17-04-2016
18,3.018685544,29-04-2016
19,2.638833575,11-05-2016
20,1.567394979,23-05-2016
21,2.085103415,04-06-2016
22,1.667048278,28-06-2016
23,1.647720299,10-07-2016
24,1.828911566,22-07-2016
25,1.449607377,03-08-2016
26,2.048777924,15-08-2016
27,1.871812712,27-08-2016
28,1.256326446,08-09-2016
29,2.000458012,20-09-2016
30,2.720428197,02-10-2016
31,2.899212675,14-10-2016
32,2.889548641,26-10-2016
33,4.14104003,07-11-2016
34,4.049231972,19-11-2016
35,4.107216092,01-12-2016
36,4.401969001,13-12-2016
37,4.397136694,25-12-2016
38,4.401968694,06-01-2017
39,4.252176279,18-01-2017
40,4.430525398,30-01-2017
41,4.189360468,11-02-2017
42,4.372976818,23-02-2017
43,4.435793221,07-03-2017
44,4.409207318,19-03-2017
45,4.005743524,31-03-2017
46,4.483506613,12-04-2017
47,4.010196439,20-04-2017
48,4.484113509,24-04-2017
49,4.464160953,02-05-2017
50,4.039568235,06-05-2017
51,3.880112412,14-05-2017
52,3.744815137,18-05-2017
53,3.846287421,30-05-2017
54,4.109414724,07-06-2017
55,4.406802695,19-06-2017
56,3.923599709,23-06-2017
57,3.706159567,01-07-2017
58,3.474222211,05-07-2017
59,3.155308946,13-07-2017
60,2.812235061,17-07-2017
61,3.174637272,25-07-2017
62,2.942700833,29-07-2017
63,3.545755923,06-08-2017
64,3.561198673,10-08-2017
65,3.131149213,18-08-2017
66,3.614351863,22-08-2017
67,3.242285961,30-08-2017
68,3.824553738,03-09-2017
69,3.818489992,11-09-2017
70,3.546703315,15-09-2017
71,3.416238392,23-09-2017
72,3.6046869,27-09-2017
73,3.686831346,05-10-2017
74,3.701327169,09-10-2017
75,3.643343254,21-10-2017
76,3.411406835,29-10-2017
77,3.628847076,02-11-2017
78,3.396910223,10-11-2017
79,3.971920188,14-11-2017
80,3.996080934,22-11-2017
81,3.783471263,26-11-2017
82,4.208688002,08-12-2017
83,4.049232566,16-12-2017
84,3.77863897,28-12-2017
85,4.068560146,01-01-2018
86,4.363312678,13-01-2018
87,4.633906834,21-01-2018
88,4.35848114,25-01-2018
89,4.566257812,06-02-2018
90,4.917782252,14-02-2018
91,4.281168642,18-02-2018
92,4.513105506,02-03-2018
93,4.620357194,14-03-2018
94,4.482881958,26-03-2018
95,4.185722318,03-04-2018
96,3.923599894,07-04-2018
97,3.773806821,15-04-2018
98,4.145872898,19-04-2018
99,3.794935348,27-04-2018
100,3.735151308,01-05-2018
101,4.148280018,09-05-2018
102,3.725487341,13-05-2018
103,3.961384538,21-05-2018
104,3.822127625,25-05-2018
105,2.846059744,02-06-2018
106,3.024844545,14-06-2018
107,3.207248793,18-06-2018
108,2.942701112,30-06-2018
109,2.817068393,08-07-2018
110,2.846060307,12-07-2018
111,2.517482941,20-07-2018
112,2.836395856,24-07-2018
113,2.749419646,05-08-2018
114,2.59479522,17-08-2018
115,3.266446017,25-08-2018
116,3.178237984,29-08-2018
117,3.276110023,06-09-2018
118,3.092493311,10-09-2018
119,3.285774212,18-09-2018
120,3.121485507,22-09-2018
