Key*,total,data
1,90.307,2015-02-22
2,73.531,2015-03-30
3,58.734,2015-05-17
4,62.231,2015-09-14
5,82.033,2015-10-08
6,89.76,2015-11-01
7,81.515,2015-11-25
8,92.656,2015-12-19
9,92.138,2016-01-12
10,92.041,2016-02-29
11,77.191,2016-03-24
12,85.204,2016-04-05
13,82.532,2016-04-17
14,77.564,2016-04-29
15,72.446,2016-05-11
16,62.733,2016-05-23
17,60.651,2016-06-04
18,56.903,2016-06-28
19,54.281,2016-07-10
20,52.99,2016-07-22
21,50.547,2016-08-03
22,52.462,2016-08-27
23,55.036,2016-09-08
24,63.697,2016-10-02
25,73.192,2016-10-14
26,78.644,2016-10-26
27,89.872,2016-11-07
28,93.136,2016-11-19
29,81.464,2016-12-01
30,93.826,2016-12-13
31,91.325,2016-12-25
32,93.551,2017-01-06
33,92.537,2017-01-18
34,90.166,2017-02-11
35,93.578,2017-03-07
36,91.278,2017-03-19
37,85.201,2017-03-31
38,84.325,2017-04-12
39,82.594,2017-04-20
40,82.664,2017-04-24
41,80.928,2017-05-02
42,80.931,2017-05-06
43,74.479,2017-05-18
44,72.99,2017-05-26
45,79.157,2017-05-30
46,78.15,2017-06-07
47,76.39,2017-06-11
48,71.937,2017-06-19
49,69.8,2017-07-01
50,66.078,2017-07-05
51,57.944,2017-07-13
52,60.884,2017-07-17
53,54.508,2017-07-25
54,56.935,2017-07-29
55,58.665,2017-08-06
56,61.273,2017-08-10
57,60.87,2017-08-18
58,63.296,2017-08-22
59,64.905,2017-08-30
60,64.291,2017-09-03
61,69.785,2017-09-15
62,71.69,2017-09-23
63,73.396,2017-09-27
64,74.666,2017-10-05
65,82.221,2017-10-09
66,89.078,2017-10-21
67,93.468,2017-11-02
68,92.527,2017-11-14
69,90.442,2017-11-26
70,86.644,2018-01-13
71,94.223,2018-02-06
72,90.405,2018-03-02
73,82.73,2018-03-26
74,71.148,2018-04-19
75,64.71,2018-05-09
76,66.524,2018-05-13
77,61.414,2018-05-25
78,55.474,2018-06-02
79,59.518,2018-06-06
80,55.204,2018-06-14
81,57.989,2018-06-30
82,58.451,2018-08-01
83,63.198,2018-08-17
84,64.904,2018-08-25
85,66.762,2018-08-29
86,69.382,2018-09-06
87,73.865,2018-09-10
88,80.487,2018-09-18
89,82.802,2018-09-22
90,81.225,2018-09-30
91,77.388,2018-10-12
92,93.528,2018-10-16
93,89.485,2018-11-09
94,93.358,2018-11-17
95,90.394,2018-12-15
96,91.634,2018-12-23
97,91.667,2018-12-27
98,91.224,2019-01-08
99,92.53,2019-01-20
100,91.686,2019-02-01
101,84.405,2019-02-25
102,79.774,2019-03-05
103,81.095,2019-03-09
104,77.584,2019-03-21
105,74.16,2019-03-29
106,72.84,2019-04-02
107,68.682,2019-04-14
108,69.524,2019-04-26
109,66.881,2019-05-04
110,64.349,2019-05-16
111,56.291,2019-06-13
112,59.023,2019-06-21
113,56.812,2019-07-07
114,49.758,2019-07-19
115,42.944,2019-07-27
116,36.747,2019-07-31
117,40.602,2019-08-08
118,49.22,2019-08-20
119,47.778,2019-08-24
120,47.843,2019-09-01
121,61.879,2019-09-13
122,91.096,2019-11-16
123,91.547,2019-11-22
124,93.465,2020-01-09
125,91.616,2020-02-02
126,88.43,2020-02-14
127,85.681,2020-02-20
128,75.88,2020-03-15
129,77.289,2020-03-21
130,75.126,2020-03-27
131,73.673,2020-04-02
132,72.379,2020-04-08
133,70.569,2020-04-14
134,69.644,2020-05-02
135,66.683,2020-05-08
136,62.351,2020-05-20
137,60.121,2020-06-01
138,60.827,2020-06-25
139,60.643,2020-06-27
140,61.874,2020-07-09
141,61.615,2020-07-13
142,61.836,2020-07-19
143,61.453,2020-07-25
144,61.31,2020-07-31
145,64.901,2020-08-06
146,66.235,2020-08-12
147,66.806,2020-08-18
148,67.322,2020-08-24
149,68.613,2020-09-11
150,69.704,2020-09-17
151,66.271,2020-09-19
152,74.756,2020-09-23
153,70.461,2020-10-01
154,85.218,2020-10-05
155,88.979,2020-10-25
156,88.913,2021-02-02
157,87.88,2021-02-10
158,90.141,2021-02-20
159,75.614,2021-02-22
160,87.567,2021-02-26
161,85.19,2021-03-04
162,77.778,2021-03-06
163,80.175,2021-03-16
164,76.505,2021-03-22
165,76.205,2021-03-28
166,72.459,2021-04-03
167,65.829,2021-04-23
168,66.35,2021-04-27
169,65.224,2021-05-03
170,63.422,2021-05-09
171,61.95,2021-05-15
172,57.821,2021-05-17
173,56.477,2021-05-27
174,53.213,2021-05-29
175,53.884,2021-06-02
176,49.429,2021-06-08
177,49.752,2021-06-20
178,47.539,2021-06-22
179,48.657,2021-06-26
180,46.466,2021-07-02
181,43.642,2021-07-04
182,43.005,2021-07-08
183,39.335,2021-07-14
184,39.583,2021-07-20
185,36.526,2021-07-26
186,31.15,2021-07-28
187,34.513,2021-08-01
188,31.767,2021-08-07
189,28.549,2021-08-09
190,29.728,2021-08-13
191,28.359,2021-08-21
192,28.782,2021-08-25
193,31.562,2021-08-31
194,31.286,2021-09-02
195,35.715,2021-09-06
196,42.908,2021-09-12
197,45.042,2021-09-14
198,50.919,2021-09-18
199,63.464,2021-09-24
200,55.054,2021-09-26
201,69.389,2021-09-30
202,69.27,2021-10-06
203,67.786,2021-10-08
204,80.485,2021-10-12
205,93.996,2021-10-24
206,79.91,2021-11-01
207,93.003,2021-11-17
208,92.565,2021-12-05
209,93.54,2022-01-04
210,86.92824552,2022-01-12
211,89.16920739,2022-01-24
212,83.22333773,2022-02-05
213,62.01588688,2022-02-17
214,46.99119124,2022-03-01
215,92.91827398,2022-03-06
