Key*,total,data
1,6.923533678,2015-02-22
2,5.339409874,2015-03-30
3,3.658982077,2015-05-17
4,2.356522749,2015-07-04
5,2.274502071,2015-07-28
6,2.096217708,2015-08-21
7,1.769940185,2015-09-14
8,3.930818901,2015-10-08
9,4.615208071,2015-11-01
10,5.403864526,2015-11-25
11,5.339409874,2015-12-19
12,5.000897362,2016-01-12
13,4.738937899,2016-02-05
14,3.24060011,2016-02-29
15,2.469658945,2016-03-24
16,2.096217708,2016-04-05
17,1.851924494,2016-04-17
18,1.595476666,2016-04-29
19,1.520730898,2016-05-11
20,1.444546794,2016-05-23
21,1.39170962,2016-06-04
22,1.484100336,2016-06-28
23,1.484100336,2016-07-10
24,1.444546794,2016-07-22
25,1.444546794,2016-08-03
26,1.484100336,2016-08-15
27,1.484100336,2016-08-27
28,1.595476666,2016-09-08
29,1.682517387,2016-09-20
30,1.769940185,2016-10-02
31,2.692463619,2016-10-14
32,2.99396966,2016-10-26
33,9.312481228,2016-11-07
34,12.66549328,2016-11-19
35,12.58361358,2016-12-01
36,14.07558597,2016-12-13
37,14.07558597,2016-12-25
38,14.37948451,2017-01-06
39,14.37948451,2017-01-18
40,13.96294527,2017-02-23
41,13.96294527,2017-03-07
42,13.45279336,2017-03-27
43,13.45279336,2017-03-31
44,13.12523668,2017-04-08
45,13.12523668,2017-04-12
46,12.88915037,2017-04-20
47,12.88915037,2017-04-24
48,12.66549328,2017-05-02
49,12.49964662,2017-05-06
50,12.4429028,2017-05-14
51,12.4429028,2017-05-18
52,14.29479649,2017-05-30
53,14.04393941,2017-06-07
54,10.93547028,2018-02-02
55,10.7084466,2018-02-06
56,10.77636537,2018-02-14
57,10.6678956,2018-02-18
58,10.77267436,2018-02-26
59,10.14150932,2018-03-02
60,10.76379971,2018-03-10
61,0.212470296,2018-03-14
62,10.61408088,2018-03-22
63,10.4543346,2018-03-26
64,10.44363401,2018-04-03
65,10.13184117,2018-04-07
66,9.197368713,2018-04-15
67,9.925578221,2018-04-19
68,8.463200099,2018-04-27
69,9.758066557,2018-05-01
70,8.527928806,2018-05-09
71,9.709488774,2018-05-13
72,8.213630942,2018-05-21
73,9.356008757,2018-05-25
74,8.861943518,2018-06-02
75,9.135712738,2018-06-06
76,3.129444564,2018-06-14
77,8.794528621,2018-06-18
78,7.706071793,2018-06-26
79,7.914966203,2018-06-30
80,7.227790826,2018-07-08
81,8.228640331,2018-07-12
82,4.480219984,2018-07-20
83,8.361420707,2018-07-24
84,6.454496592,2018-08-01
85,7.066265657,2018-08-05
86,7.242131931,2018-08-17
87,2.937890624,2018-08-25
88,7.503387236,2018-08-29
89,4.494298687,2018-09-06
90,5.713559533,2018-09-10
91,5.193482391,2018-09-22
92,0.289059062,2018-09-30
93,5.564557541,2018-10-04
94,4.901790892,2018-10-12
95,5.483116769,2018-10-16
96,4.304498587,2018-10-24
97,5.846503903,2018-10-28
98,7.678688885,2018-11-05
99,5.667384953,2018-11-09
100,4.225938844,2018-11-17
101,10.86859476,2018-12-23
102,11.13048642,2018-12-27
103,11.15703722,2019-01-04
104,11.13480518,2019-01-08
105,10.49596109,2019-01-16
106,11.15603356,2019-01-20
107,11.31529284,2019-01-28
108,11.13276895,2019-02-01
109,10.37171258,2019-02-09
110,11.10132261,2019-02-13
111,10.59224962,2019-02-21
112,11.03299196,2019-02-25
113,7.985594346,2019-03-05
114,10.97166829,2019-03-09
115,11.0136848,2019-03-17
116,10.80164735,2019-03-21
117,9.892787885,2019-03-29
