Key*,total,data
1,7.77,02/22/2015
2,6.31,03/30/2015
3,6.01,01/12/2016
4,4.29,02/29/2016
5,3.52,03/24/2016
6,3.1,04/05/2016
7,2.79,04/17/2016
8,2.5,04/29/2016
9,2.41,05/11/2016
10,10.09,11/07/2016
11,13.53,12/01/2016
12,14.15,04/08/2017
13,13.88,04/20/2017
14,13.61,05/02/2017
15,11.46,01/01/2018
16,13.58,01/09/2018
17,7.01,01/13/2018
18,13.57,01/21/2018
19,13.56,01/25/2018
20,13.55,02/02/2018
21,13.05,02/06/2018
22,13.56,02/14/2018
23,13.55,02/18/2018
24,13.55,02/26/2018
25,13.53,03/02/2018
26,12,03/10/2018
27,13.1,03/14/2018
28,12.75,03/22/2018
29,12.44,03/26/2018
30,12.69,04/03/2018
31,6.96,04/07/2018
32,11.11,04/15/2018
33,10.36,04/19/2018
34,9.91,04/27/2018
35,10.02,05/01/2018
36,9.8,05/09/2018
37,9.29,05/13/2018
38,10.08,05/21/2018
39,8.75,05/25/2018
40,7.52,06/02/2018
41,7.9,06/06/2018
42,7.55,06/14/2018
43,7.54,06/18/2018
44,7.8,06/26/2018
45,7.14,06/30/2018
46,7.35,07/08/2018
47,5.86,07/12/2018
48,4.78,07/20/2018
49,4.14,07/24/2018
50,4.58,08/01/2018
51,2.66,08/05/2018
52,2.49,08/17/2018
53,2.33,08/25/2018
54,2.45,08/29/2018
55,2.49,09/06/2018
56,2.12,09/10/2018
57,2.19,09/18/2018
58,2.1,09/22/2018
59,2.27,09/30/2018
60,2.08,10/04/2018
61,2.21,10/12/2018
62,2.1,10/16/2018
63,2.02,10/24/2018
64,1.92,10/28/2018
65,1.87,11/05/2018
66,1.93,11/09/2018
67,1.98,11/17/2018
68,6.47,11/21/2018
69,13.61,11/29/2018
70,13.61,12/03/2018
71,14.22,12/11/2018
72,13.55,12/15/2018
73,14.24,12/23/2018
74,13.6,12/27/2018
75,13.59,01/04/2019
76,13.6,01/08/2019
77,13.61,01/16/2019
78,13.64,01/20/2019
