Key*, total, data
1,0.411413253,2018-09-06
2,0.408105732,2018-09-10
3,0.409692455,2018-09-18
4,0.411413253,2018-09-22
5,0.413248101,2018-09-30
6,0.413726248,2018-10-04
7,0.416233054,2018-10-12
8,0.415797455,2018-10-16
9,0.414727289,2018-10-24
10,0.414223271,2018-10-28
11,0.413248101,2018-11-05
12,0.417252481,2018-11-09
13,0.420393349,2018-11-17
14,0.476456334,2018-11-21
15,0.480511837,2018-11-29
16,0.479153822,2018-12-03
17,0.477583808,2018-12-11
18,0.479153822,2018-12-15
19,0.477583808,2018-12-23
20,0.47700421,2018-12-27
21,0.481561755,2019-01-04
22,0.474719967,2019-01-28
23,0.472719499,2019-02-21
24,0.472719499,2019-02-25
25,0.472187674,2019-03-05
26,0.472187674,2019-03-09
27,0.470532973,2019-03-17
28,0.469452796,2019-03-21
29,0.468783066,2019-03-29
30,0.468345665,2019-04-02
31,0.467690121,2019-04-10
32,0.46684582,2019-04-22
33,0.4623587,2019-05-04
34,0.459435447,2019-05-08
35,0.458377166,2019-05-16
36,0.457486829,2019-05-20
37,0.452671243,2019-05-28
38,0.451023943,2019-06-09
39,0.447053054,2019-06-25
40,0.445122747,2019-07-03
41,0.442166117,2019-07-15
42,0.442166117,2019-07-19
43,0.442166117,2019-07-31
44,0.441382842,2019-08-08
45,0.442166117,2019-08-12
46,0.441382842,2019-08-20
47,0.440958849,2019-09-01
48,0.440464948,2019-09-05
49,0.442166117,2019-09-17
50,0.470532973,2019-09-25
51,0.474000722,2019-10-07
52,0.473357443,2019-10-11
53,0.475871575,2019-10-23
54,0.474719967,2019-10-31
55,0.476456334,2019-11-04
56,0.479598127,2019-11-12
57,0.475352115,2019-11-22
58,0.474719967,2019-11-28
59,0.473357443,2019-12-18
60,0.473357443,2019-12-30
61,0.473357443,2020-01-03
62,0.473357443,2020-01-09
63,0.471638387,2020-02-04
64,0.463768257,2020-02-26
65,0.4623587,2020-02-28
66,0.461778007,2020-03-03
67,0.459435447,2020-03-09
68,0.458783912,2020-03-11
69,0.457937777,2020-03-23
70,0.455566246,2020-03-27
71,0.4537496,2020-04-02
72,0.451023943,2020-04-08
73,0.448415232,2020-04-14
74,0.445122747,2020-04-20
75,0.420393349,2020-05-26
76,0.418456287,2020-06-01
77,0.417612527,2020-06-03
78,0.414727289,2020-06-25
79,0.414223271,2020-07-01
80,0.413248101,2020-07-07
81,0.413243963,2020-07-13
82,0.412612197,2020-07-21
83,0.411413253,2020-08-12
84,0.411413253,2020-08-14
85,0.411413253,2020-08-18
86,0.411413253,2020-09-07
87,0.410996216,2020-09-17
88,0.410996216,2020-09-23
89,0.410268887,2020-10-01
90,0.411840667,2020-10-05
91,0.457937777,2020-10-29
92,0.475871575,2020-11-04
93,0.47808013,2020-11-10
94,0.474719967,2020-11-16
95,0.476456334,2020-12-04
96,0.475352115,2020-12-10
97,0.474000722,2021-01-15
98,0.474000722,2021-01-21
99,0.473357443,2021-01-27
100,0.472719499,2021-02-22
101,0.472719499,2021-02-26
102,0.472187674,2021-03-04
