Key*,total,data
1,0.43514033,2018-09-06
2,0.431832809,2018-09-10
3,0.433419532,2018-09-18
4,0.43514033,2018-09-22
5,0.436975179,2018-09-30
6,0.437453325,2018-10-04
7,0.439960131,2018-10-12
8,0.439524532,2018-10-16
9,0.438454366,2018-10-24
10,0.437950349,2018-10-28
11,0.436975179,2018-11-05
12,0.440979558,2018-11-09
13,0.444120427,2018-11-17
14,0.500183412,2018-11-21
15,0.504238914,2018-11-29
16,0.5028809,2018-12-03
17,0.501310885,2018-12-11
18,0.5028809,2018-12-15
19,0.501310885,2018-12-23
20,0.500731287,2018-12-27
21,0.505288832,2019-01-04
22,0.498447045,2019-01-28
23,0.496446576,2019-02-21
24,0.496446576,2019-02-25
25,0.495914752,2019-03-05
26,0.495914752,2019-03-09
27,0.49426005,2019-03-17
28,0.493179874,2019-03-21
29,0.492510143,2019-03-29
30,0.492072743,2019-04-02
31,0.491417198,2019-04-10
32,0.490572898,2019-04-22
33,0.486085778,2019-05-04
34,0.483162525,2019-05-08
35,0.482104244,2019-05-16
36,0.481213906,2019-05-20
37,0.47639832,2019-05-28
38,0.474751021,2019-06-09
39,0.470780131,2019-06-25
40,0.468849824,2019-07-03
41,0.465893194,2019-07-15
42,0.465893194,2019-07-19
43,0.465893194,2019-07-31
44,0.465109919,2019-08-08
45,0.465893194,2019-08-12
46,0.465109919,2019-08-20
47,0.464685926,2019-09-01
48,0.464192025,2019-09-05
49,0.465893194,2019-09-17
50,0.49426005,2019-09-25
51,0.4977278,2019-10-07
52,0.49708452,2019-10-11
53,0.499598652,2019-10-23
54,0.498447045,2019-10-31
55,0.500183412,2019-11-04
56,0.503325205,2019-11-12
57,0.499079192,2019-11-22
58,0.498447045,2019-11-28
59,0.49708452,2019-12-18
60,0.49708452,2019-12-30
61,0.49708452,2020-01-03
62,0.49708452,2020-01-09
63,0.495365464,2020-02-04
64,0.487495335,2020-02-26
65,0.486085778,2020-02-28
66,0.485505084,2020-03-03
67,0.483162525,2020-03-09
68,0.48251099,2020-03-11
69,0.481664855,2020-03-23
70,0.479293324,2020-03-27
71,0.477476677,2020-04-02
72,0.474751021,2020-04-08
73,0.472142309,2020-04-14
74,0.468849824,2020-04-20
75,0.444120427,2020-05-26
76,0.442183365,2020-06-01
77,0.441339604,2020-06-03
78,0.438454366,2020-06-25
79,0.437950349,2020-07-01
80,0.436975179,2020-07-07
81,0.436971041,2020-07-13
82,0.436339275,2020-07-21
83,0.43514033,2020-08-12
84,0.43514033,2020-08-14
85,0.43514033,2020-08-18
86,0.43514033,2020-09-07
87,0.434723293,2020-09-17
88,0.434723293,2020-09-23
89,0.433995964,2020-10-01
90,0.435567745,2020-10-05
91,0.481664855,2020-10-29
92,0.499598652,2020-11-04
93,0.501807208,2020-11-10
94,0.498447045,2020-11-16
95,0.500183412,2020-12-04
96,0.499079192,2020-12-10
97,0.4977278,2021-01-15
98,0.4977278,2021-01-21
99,0.49708452,2021-01-27
100,0.496446576,2021-02-22
101,0.496446576,2021-02-26
102,0.495914752,2021-03-04
103,0.277853456,2021-03-06
104,0.760891994,2021-03-10
105,0.681072876,2021-03-16
106,0.248532727,2021-03-18
107,0.416516362,2021-03-22
108,0.502825257,2021-03-28
109,0.306198208,2021-03-30
110,0.644016599,2021-04-03
111,0.757160708,2021-04-09
112,0.250690995,2021-04-11
113,0.438900003,2021-04-15
114,0.322116804,2021-04-21
115,0.255136568,2021-04-23
116,0.365191785,2021-04-27
117,0.501254087,2021-05-03
118,0.619001365,2021-05-05
119,0.356714365,2021-05-09
120,0.339162142,2021-05-15
121,0.267091614,2021-05-17
122,0.318118536,2021-05-27
123,0.257226454,2021-05-29
124,0.41119794,2021-06-02
125,0.352294544,2021-06-08
126,0.261527252,2021-06-10
127,0.471149614,2021-06-14
128,0.442104622,2021-06-20
129,0.527959276,2021-06-22
130,0.411240465,2021-06-26
131,0.269873836,2021-07-02
132,0.287508355,2021-07-04
133,0.295926382,2021-07-08
134,0.286314127,2021-07-14
135,0.19955995,2021-07-16
136,0.429792468,2021-07-20
137,0.479465534,2021-07-26
138,0.590071142,2021-07-28
139,0.523838828,2021-08-01
140,0.27314104,2021-08-07
141,0.118215533,2021-08-09
142,0.422806711,2021-08-13
143,0.248148801,2021-08-21
144,0.354555965,2021-08-25
145,0.301835937,2021-08-31
146,0.288977306,2021-09-02
147,0.303652046,2021-09-06
148,0.380364543,2021-09-12
149,0.292384389,2021-09-18
150,0.333105752,2021-09-24
151,0.276702873,2021-09-26
152,0.318678911,2021-09-30
153,0.32364923,2021-10-06
154,0.223588041,2021-10-08
155,0.334117455,2021-10-12
156,0.340440637,2021-10-18
157,0.000252927,2021-10-20
158,0.331524683,2021-10-24
159,0.345453594,2021-10-30
160,0.347049493,2021-11-01
161,0.276449952,2021-11-13
162,0.32728842,2021-11-17
163,0.340693566,2021-11-23
164,0.381642127,2021-11-25
165,0.331335258,2021-11-29
166,0.370871305,2021-12-05
167,0.439795529,2021-12-07
168,0.417670776,2021-12-11
