Key*, total, data
1,1.93,2018-09-06
2,1.93,2018-09-10
3,1.93,2018-09-18
4,1.91,2018-09-22
5,1.91,2018-09-30
6,1.91,2018-10-04
7,1.88,2018-10-12
8,1.88,2018-10-16
9,1.88,2018-10-24
10,1.88,2018-10-28
11,1.85,2018-11-05
12,1.91,2018-11-09
13,1.48,2018-11-17
14,3.21,2018-11-21
15,3.22,2018-11-29
16,3.22,2018-12-03
17,3.19,2018-12-11
18,3.19,2018-12-15
19,3.19,2018-12-23
20,3.19,2018-12-27
21,3.22,2019-01-04
22,3.2,2019-01-28
23,3.19,2019-02-21
24,3.19,2019-02-25
25,3.19,2019-03-05
26,3.19,2019-03-09
27,3.19,2019-03-17
28,3.19,2019-03-21
29,3.19,2019-03-29
30,3.19,2019-04-02
31,3.18,2019-04-10
32,3.15,2019-04-22
33,3.15,2019-05-04
34,3.15,2019-05-08
35,3.13,2019-05-16
36,3.13,2019-05-20
37,3.12,2019-05-28
38,3.15,2019-06-09
39,3.15,2019-06-25
40,3.15,2019-07-03
41,3.13,2019-07-15
42,3.13,2019-07-19
43,3.13,2019-07-31
44,3.13,2019-08-08
45,3.12,2019-08-12
46,3.12,2019-08-20
47,3.12,2019-09-01
48,3.11,2019-09-05
49,3.07,2019-09-17
50,3.19,2019-10-07
51,3.05,2019-10-11
52,3.03,2019-10-23
53,3.02,2019-10-31
54,3,2019-11-04
55,3.03,2019-11-12
56,3.03,2019-11-22
57,3,2019-11-28
58,2.95,2019-12-18
59,2.87,2019-12-30
60,2.87,2020-01-03
61,2.83,2020-01-09
62,2.61,2020-02-04
63,2.17,2020-02-26
64,2.17,2020-02-28
65,2.12,2020-03-03
66,2.03,2020-03-09
67,2.03,2020-03-11
68,1.95,2020-03-23
69,1.95,2020-03-27
70,1.91,2020-04-02
71,1.9,2020-04-08
72,1.85,2020-04-14
73,1.8,2020-04-20
74,1.56,2020-05-26
75,1.56,2020-06-01
76,1.56,2020-06-03
77,1.49,2020-06-25
78,1.47,2020-07-01
79,1.44,2020-07-07
80,1.44,2020-07-13
81,1.4,2020-07-21
82,1.33,2020-08-12
83,1.33,2020-08-14
84,1.33,2020-08-18
85,1.33,2020-08-24
86,1.31,2020-08-26
87,1.3,2020-09-07
88,1.25,2020-09-17
89,1.12,2020-09-23
90,1.12,2020-09-29
91,1.12,2020-10-01
92,1.12,2020-10-05
93,3.19,2020-10-23
94,3.19,2020-10-25
95,3.15,2020-10-29
96,3.03,2020-11-04
97,2.99,2020-11-10
98,2.72,2020-11-16
99,3.12,2020-12-04
100,3.15,2020-12-10
101,3.19,2021-01-15
102,3.19,2021-01-21
103,3.19,2021-01-27
104,3.19,2021-02-22
105,3.19,2021-02-26
106,3.19,2021-03-04
