Key*,total,data
1,1.268386429,2018-09-22
2,1.182344078,2018-10-04
3,1.420206959,2018-10-12
4,1.722109434,2018-11-09
5,1.593907171,2019-05-28
6,1.843515654,2019-10-23
7,1.590445537,2019-11-04
8,1.319524506,2020-03-11
9,1.30408411,2020-03-23
10,1.329678522,2020-06-03
11,1.431797328,2020-07-07
12,1.566204284,2020-07-13
13,1.510725713,2020-09-23
14,1.554647645,2020-09-29
15,1.833437512,2020-11-16
16,1.425978402,2021-03-06
17,1.264709477,2021-03-18
18,1.349594699,2021-03-30
19,1.454861949,2021-04-11
20,1.5286792,2021-04-21
21,1.559933558,2021-04-27
22,1.929868932,2021-05-15
23,1.30908675,2021-05-17
24,1.357260738,2021-05-27
25,1.434781989,2021-06-20
26,1.860614864,2021-06-26
27,1.206974167,2021-07-02
28,1.315855598,2021-07-04
29,1.284042029,2021-07-08
30,1.218949244,2021-07-14
31,1.377740623,2021-08-31
32,1.387084779,2021-09-02
33,1.173799828,2021-09-06
34,1.637662494,2021-09-12
35,1.667233981,2021-09-18
36,1.262796941,2021-09-24
37,1.118518494,2021-09-26
38,1.237231609,2021-09-30
39,1.268524884,2021-10-06
40,1.651487627,2021-10-12
41,1.295296855,2021-10-18
42,1.311408504,2021-10-24
43,1.243892125,2021-10-30
44,1.496536742,2021-11-01
45,1.107621386,2021-11-13
46,1.50094664,2021-11-17
47,1.382125181,2021-11-23
48,1.644330413,2021-11-25
49,1.452877278,2021-11-29
50,1.591090065,2021-12-05
51,1.350177776,2021-12-17
52,1.471173399,2021-12-19
53,1.587118844,2021-12-23
54,1.71826014,2021-12-31
55,1.740250272,2022-01-12
56,1.623757926,2022-01-16
57,1.691102126,2022-01-24
58,1.702060483,2022-01-28
59,1.914943415,2022-02-09
