Key*, total, data
1,0.15,2018-09-06
2,0.15,2018-09-10
3,0.17,2018-09-18
4,0.17,2018-09-22
5,0.19,2018-09-30
6,0.18,2018-10-04
7,0.2,2018-10-12
8,0.19,2018-10-16
9,0.2,2018-10-24
10,0.2,2018-10-28
11,0.19,2018-11-05
12,0.29,2018-11-09
13,0.32,2018-11-17
14,0.47,2018-11-21
15,0.73,2018-11-29
16,0.73,2018-12-03
17,0.71,2018-12-11
18,0.75,2018-12-15
19,0.71,2018-12-23
20,0.71,2018-12-27
21,0.74,2019-01-04
22,0.71,2019-01-28
23,0.7,2019-02-21
24,0.69,2019-02-25
25,0.67,2019-03-05
26,0.67,2019-03-09
27,0.65,2019-03-17
28,0.65,2019-03-21
29,0.63,2019-03-29
30,0.62,2019-04-02
31,0.6,2019-04-10
32,0.56,2019-04-22
33,0.53,2019-05-04
34,0.51,2019-05-08
35,0.5,2019-05-16
36,0.49,2019-05-20
37,0.47,2019-05-28
38,0.45,2019-06-09
39,0.44,2019-06-25
40,0.42,2019-07-03
41,0.38,2019-07-15
42,0.37,2019-07-19
43,0.34,2019-07-31
44,0.32,2019-08-08
45,0.2,2019-08-12
46,0.27,2019-08-20
47,0.25,2019-09-01
48,0.23,2019-09-05
49,0.23,2019-09-17
50,0.29,2019-09-25
51,0.29,2019-10-07
52,0.28,2019-10-11
53,0.34,2019-10-23
54,0.35,2019-10-31
55,0.36,2019-11-04
56,0.5,2019-11-12
57,0.52,2019-11-22
58,0.51,2019-11-28
59,0.49,2019-12-18
60,0.45,2019-12-30
61,0.43,2020-01-03
62,0.42,2020-01-09
63,0.34,2020-02-04
64,0.27,2020-02-26
65,0.26,2020-02-28
66,0.24,2020-03-03
67,0.22,2020-03-09
68,0.22,2020-03-11
69,0.2,2020-03-23
70,0.18,2020-03-27
71,0.17,2020-04-02
72,0.15,2020-04-08
73,0.14,2020-04-14
74,0.14,2020-04-20
75,0.08,2020-05-26
76,0.07,2020-06-01
77,0.07,2020-06-03
78,0.04,2020-06-25
79,0.04,2020-07-01
80,0.03,2020-07-07
81,0.02,2020-07-13
82,0.02,2020-07-21
83,0.04,2020-08-12
84,0.05,2020-08-14
85,0.05,2020-08-18
86,0.05,2020-08-24
87,0.05,2020-08-26
88,0.04,2020-09-07
89,0.03,2020-09-17
90,0.02,2020-09-23
91,0.05,2020-10-01
92,0.05,2020-10-05
93,0.19,2020-10-29
94,0.28,2020-11-04
95,0.31,2020-11-10
96,0.41,2020-11-16
97,0.73,2020-12-04
98,0.72,2020-12-10
99,0.71,2021-01-15
100,0.71,2021-01-21
101,0.71,2021-01-27
102,0.67,2021-02-22
103,0.66,2021-02-26
104,0.64,2021-03-04
