Key*,total,data
1,1.075690892,2018-11-09
2,1.507995336,2018-11-21
3,1.416717243,2018-11-29
4,1.585962407,2018-12-03
5,1.627554852,2018-12-11
6,1.545809284,2018-12-15
7,1.375515155,2018-12-23
8,1.516636114,2018-12-27
9,1.603263632,2019-01-04
10,1.670014691,2019-01-28
11,1.469329109,2019-02-21
12,1.657249968,2019-02-25
13,1.617497058,2019-03-09
14,1.627480347,2019-03-17
15,1.49801245,2019-03-21
16,1.470676167,2019-04-02
17,1.294378809,2019-04-10
18,1.241133097,2019-04-22
19,1.178379157,2019-05-04
20,1.336065358,2019-05-08
21,1.29802273,2019-05-20
22,1.157461248,2019-05-28
23,1.054773084,2019-06-09
24,1.284025259,2019-06-25
25,1.34655317,2019-07-03
26,1.218313302,2019-07-19
27,1.249298641,2019-07-31
28,1.165574718,2019-09-05
29,1.168485731,2019-09-25
30,1.159089348,2019-10-07
31,0.998198786,2019-10-11
32,1.081390886,2019-10-23
33,0.955888229,2019-10-31
34,1.129247413,2019-11-04
35,1.11118817,2019-11-12
36,1.159362923,2019-12-30
37,1.403529868,2020-01-03
38,1.420619907,2020-01-09
39,1.404932007,2020-02-04
40,1.131750669,2020-02-26
41,1.274974349,2020-02-28
42,1.138479719,2020-03-03
43,0.90898108,2020-03-09
44,0.70558565,2020-08-18
45,0.792024426,2020-10-29
46,0.758799228,2020-11-04
47,1.107797479,2020-11-10
48,1.240508978,2020-11-16
49,1.459472461,2020-12-04
50,1.591428565,2020-12-10
51,1.578355863,2021-01-15
52,1.573282358,2021-01-21
53,1.372184146,2021-01-27
54,1.423689944,2021-02-22
55,1.404039522,2021-02-26
56,1.561793019,2021-03-04
57,1.674204272,2021-03-06
58,1.484862608,2021-03-18
59,1.584524147,2021-03-30
60,1.708115696,2021-04-11
61,1.794782617,2021-04-21
62,1.831477548,2021-04-27
63,1.536964814,2021-05-17
64,1.593524645,2021-05-27
65,1.684540336,2021-06-20
66,1.417077077,2021-07-02
67,1.544911943,2021-07-04
68,1.507560456,2021-07-08
69,1.431136705,2021-07-14
70,1.617569546,2021-08-31
71,1.628540277,2021-09-02
72,1.48261715,2021-09-24
73,1.452601555,2021-09-30
74,1.489342179,2021-10-06
75,1.520774456,2021-10-18
76,1.539690726,2021-10-24
77,1.460421495,2021-10-30
78,1.300429553,2021-11-13
79,1.762222536,2021-11-17
80,1.622717342,2021-11-23
81,1.705785545,2021-11-29
82,1.868057594,2021-12-05
83,1.378509964,2021-12-17
84,1.653164671,2021-12-19
85,1.663343127,2021-12-23
86,1.550973627,2021-12-31
87,1.594519766,2022-01-04
88,1.675694297,2022-01-12
89,1.612434427,2022-01-16
90,1.653480083,2022-01-24
91,1.580715064,2022-01-28
92,1.554895736,2022-02-09
93,1.527486816,2022-02-17
94,1.414864006,2022-02-21
95,1.563697336,2022-03-01
96,1.542261458,2022-03-05
97,1.522574981,2022-03-13
