Key*, total, data
1,0.04,2018-01-01
2,0.04,2018-01-09
3,0.04,2018-01-13
4,0.04,2018-01-21
5,0.04,2018-01-25
6,0.04,2018-02-02
7,0.04,2018-02-06
8,0.04,2018-02-14
9,0.04,2018-02-18
10,0.04,2018-02-26
11,0.04,2018-03-02
12,0.04,2018-03-10
13,0.04,2018-03-14
14,0.04,2018-03-22
15,0.04,2018-03-26
16,0.04,2018-04-03
17,0.04,2018-04-07
18,0.04,2018-04-15
19,0.04,2018-04-19
20,0.04,2018-04-27
21,0.04,2018-05-01
22,0.04,2018-05-09
23,0.04,2018-05-13
24,0.04,2018-05-21
25,0.04,2018-05-25
26,0.04,2018-06-02
27,0.04,2018-06-06
28,0.04,2018-06-14
29,0.04,2018-06-18
30,0.04,2018-06-26
31,0.04,2018-06-30
32,0.04,2018-07-08
33,0.04,2018-07-12
34,0.04,2018-07-20
35,0.07,2018-07-24
36,0.07,2018-08-01
37,0.07,2018-08-05
38,0.07,2018-08-17
39,0.07,2018-08-25
40,0.07,2018-08-29
41,0.07,2018-09-06
42,0.07,2018-09-10
43,0.07,2018-09-18
44,0.07,2018-09-22
45,0.07,2018-09-30
46,0.07,2018-10-04
47,0.07,2018-10-12
48,0.07,2018-10-16
49,0.07,2018-10-24
50,0.07,2018-10-28
51,0.07,2018-11-05
52,0.07,2018-11-09
53,0.07,2018-11-17
54,0.07,2018-11-21
55,0.07,2018-11-29
56,0.07,2018-12-03
57,0.07,2018-12-11
58,0.07,2018-12-15
59,0.07,2018-12-23
60,0.07,2018-12-27
61,0.07,2019-01-04
62,0.07,2019-01-08
63,0.07,2019-01-16
64,0.07,2019-01-20
65,0.07,2019-01-28
66,0.07,2019-02-01
67,0.07,2019-02-09
68,0.07,2019-02-13
69,0.07,2019-02-21
70,0.07,2019-02-25
71,0.1,2019-03-05
72,0.12,2019-03-09
73,0.14,2019-03-17
74,0.18,2019-03-21
75,0.19,2019-03-29
76,0.23,2019-04-02
77,0.24,2019-04-10
78,0.24,2019-04-14
79,0.24,2019-04-22
80,0.26,2019-04-26
81,0.28,2019-05-04
82,0.29,2019-05-08
83,0.3,2019-05-16
84,0.3,2019-05-20
85,0.3,2019-05-28
86,0.31,2019-06-01
87,0.31,2019-06-09
88,0.31,2019-06-13
89,0.33,2019-06-25
90,0.33,2019-07-03
91,0.33,2019-07-07
92,0.33,2019-07-15
93,0.33,2019-07-19
94,0.33,2019-07-31
95,0.33,2019-08-08
96,0.33,2019-08-12
97,0.34,2019-08-20
98,0.35,2019-08-24
