Key*,total,data
1,0.030973933,2018-01-01
2,0.028864087,2018-01-13
3,0.0298776,2018-05-01
4,0.026910731,2018-05-13
5,0.04269505,2018-07-12
6,0.051733016,2018-07-24
7,0.05150064,2018-08-29
8,0.044833465,2018-09-10
9,0.044987172,2018-11-21
10,0.047040396,2018-11-29
11,0.046690647,2018-12-23
12,0.055923724,2019-01-16
13,0.075198769,2019-01-20
14,0.074057115,2019-01-28
15,0.07216265,2019-02-01
16,0.071407992,2019-02-13
17,0.069165454,2019-02-25
18,0.066773965,2019-03-09
19,0.069963895,2019-03-17
20,0.072414888,2021-07-28
21,0.063716942,2021-11-17
22,0.062721123,2021-11-23
23,0.072093623,2021-11-25
24,0.070801039,2021-11-29
25,0.071527328,2021-12-05
26,0.076422196,2021-12-11
27,0.068151313,2021-12-23
28,0.063203137,2021-12-31
29,0.062986511,2022-01-04
30,0.069929954,2022-01-12
31,0.06194608,2022-01-24
32,0.062668954,2022-01-28
33,0.057369284,2022-02-09
34,0.055070641,2022-02-17
35,0.057744487,2022-02-21
36,0.050720224,2022-03-01
37,0.050257028,2022-03-05
38,0.059847908,2022-03-13
