Key*, total, data
1,0.09,2018-09-10
2,0.17,2018-09-18
3,0.17,2018-09-22
4,0.17,2018-09-30
5,0.18,2018-10-04
6,0.18,2018-10-12
7,0.18,2018-10-16
8,0.18,2018-10-24
9,0.18,2018-10-28
10,0.17,2018-11-05
11,0.25,2018-11-09
12,0.26,2018-11-17
13,0.29,2018-11-21
14,0.34,2018-11-29
15,0.34,2018-12-03
16,0.34,2018-12-11
17,0.34,2018-12-15
18,0.34,2018-12-23
19,0.34,2018-12-27
20,0.34,2019-01-04
21,0.34,2019-01-28
22,0.29,2019-02-21
23,0.29,2019-02-25
24,0.28,2019-03-05
25,0.27,2019-03-09
26,0.27,2019-03-17
27,0.25,2019-03-21
28,0.23,2019-03-29
29,0.23,2019-04-02
30,0.21,2019-04-10
31,0.19,2019-04-22
32,0.18,2019-05-04
33,0.19,2019-05-08
34,0.22,2019-05-16
35,0.22,2019-05-20
36,0.22,2019-05-28
37,0.23,2019-06-09
38,0.25,2019-06-25
39,0.25,2019-07-03
40,0.24,2019-07-15
41,0.25,2019-07-19
42,0.26,2019-07-31
43,0.26,2019-08-08
44,0.26,2019-08-12
45,0.25,2019-08-20
46,0.25,2019-09-01
47,0.25,2019-09-05
48,0.24,2019-09-17
49,0.22,2019-09-25
50,0.18,2019-10-07
51,0.16,2019-10-11
52,0.15,2019-10-23
53,0.12,2019-10-31
54,0.11,2019-11-04
55,0.1,2019-11-12
56,0.11,2019-11-22
57,0.1,2019-11-28
58,0.07,2019-12-18
59,0.07,2019-12-30
60,0.06,2020-01-03
61,0.07,2020-01-09
62,0.06,2020-02-04
63,0.06,2020-02-26
64,0.06,2020-02-28
65,0.06,2020-03-03
66,0.06,2020-03-09
67,0.06,2020-03-11
68,0.06,2020-03-23
69,0.06,2020-03-27
70,0.06,2020-04-02
71,0.06,2020-04-08
72,0.06,2020-04-14
73,0.06,2020-04-20
74,0.05,2020-05-26
75,0.06,2020-06-01
76,0.07,2020-06-03
77,0.07,2020-06-25
78,0.07,2020-07-01
79,0.07,2020-07-07
80,0.07,2020-07-13
81,0.07,2020-07-21
82,0.1,2020-08-12
83,0.1,2020-08-14
84,0.1,2020-08-18
85,0.1,2020-08-24
86,0.1,2020-09-07
87,0.1,2020-09-17
88,0.09,2020-09-23
89,0.11,2020-10-01
90,0.11,2020-10-05
91,0.24,2020-10-29
92,0.24,2020-11-04
93,0.25,2020-11-10
94,0.31,2020-11-16
95,0.34,2020-12-04
96,0.34,2020-12-10
97,0.33,2021-01-15
98,0.3,2021-01-21
99,0.29,2021-01-27
100,0.24,2021-02-22
101,0.23,2021-02-26
102,0.22,2021-03-04
