Key*,total,data
1,0.509685188,2018-09-10
2,0.594308103,2018-09-18
3,0.595251721,2018-09-22
4,0.595317304,2018-09-30
5,0.59572419,2018-10-04
6,0.596366892,2018-10-12
7,0.59572419,2018-10-16
8,0.597510978,2018-10-24
9,0.599378813,2018-10-28
10,0.593852506,2018-11-05
11,0.665985529,2018-11-09
12,0.67903131,2018-11-17
13,0.712998823,2018-11-21
14,0.759981064,2018-11-29
15,0.759370482,2018-12-03
16,0.759370482,2018-12-11
17,0.759370482,2018-12-15
18,0.758589703,2018-12-23
19,0.758589703,2018-12-27
20,0.759981064,2019-01-04
21,0.757468049,2019-01-28
22,0.713438956,2019-02-21
23,0.710629082,2019-02-25
24,0.698994462,2019-03-05
25,0.695381812,2019-03-09
26,0.687894497,2019-03-17
27,0.670340463,2019-03-21
28,0.65383965,2019-03-29
29,0.650375931,2019-04-02
30,0.627442513,2019-04-10
31,0.614941792,2019-04-22
32,0.60082486,2019-05-04
33,0.614043496,2019-05-08
34,0.637416674,2019-05-16
35,0.639064749,2019-05-20
36,0.643383676,2019-05-28
37,0.650375931,2019-06-09
38,0.671120388,2019-06-25
39,0.666820318,2019-07-03
40,0.66535186,2019-07-15
41,0.67501791,2019-07-19
42,0.684634549,2019-07-31
43,0.67903131,2019-08-08
44,0.67903131,2019-08-12
45,0.671120388,2019-08-20
46,0.667415188,2019-09-01
47,0.66821719,2019-09-05
48,0.659084309,2019-09-17
49,0.641687213,2019-09-25
50,0.60533114,2019-10-07
51,0.584292759,2019-10-11
52,0.571460545,2019-10-23
53,0.535922092,2019-10-31
54,0.532235318,2019-11-04
55,0.520745652,2019-11-12
56,0.527654097,2019-11-22
57,0.524809092,2019-11-28
58,0.494592785,2019-12-18
59,0.487445999,2019-12-30
60,0.484883876,2020-01-03
61,0.487009044,2020-01-09
62,0.483536724,2020-02-04
63,0.482306709,2020-02-26
64,0.483536724,2020-02-28
65,0.481465797,2020-03-03
66,0.483536724,2020-03-09
67,0.480768547,2020-03-11
68,0.480768547,2020-03-23
69,0.480359994,2020-03-27
70,0.47970965,2020-04-02
71,0.479354794,2020-04-08
72,0.476630584,2020-04-14
73,0.477909829,2020-04-20
74,0.474086783,2020-05-26
75,0.48069601,2020-06-01
76,0.487445999,2020-06-03
77,0.486672428,2020-06-25
78,0.486672428,2020-07-01
79,0.487009044,2020-07-07
80,0.487009044,2020-07-13
81,0.485472943,2020-07-21
82,0.520033756,2020-08-12
83,0.520033756,2020-08-14
84,0.520454345,2020-08-18
85,0.520033756,2020-08-24
86,0.518084533,2020-09-07
87,0.51634997,2020-09-17
88,0.514131509,2020-09-23
89,0.526950886,2020-10-01
90,0.527654097,2020-10-05
91,0.659084309,2020-10-29
92,0.663701934,2020-11-04
93,0.668908532,2020-11-10
94,0.725849213,2020-11-16
95,0.759981064,2020-12-04
96,0.758589703,2020-12-10
97,0.746622087,2021-01-15
98,0.723712384,2021-01-21
99,0.710629082,2021-01-27
100,0.661271664,2021-02-22
101,0.653284072,2021-02-26
102,0.644735324,2021-03-04
103,0.586637752,2021-03-06
104,0.787299068,2021-03-10
105,0.687181403,2021-03-16
106,0.199724146,2021-03-18
107,0.510695153,2021-03-22
108,0.583868402,2021-03-28
109,0.442903117,2021-03-30
110,0.566268529,2021-04-03
111,0.550015722,2021-04-09
112,0.124514273,2021-04-11
113,0.489321751,2021-04-15
114,0.434964212,2021-04-21
115,0.410312135,2021-04-23
116,0.587473253,2021-04-27
117,0.619228492,2021-05-03
118,0.714327395,2021-05-05
119,0.516892261,2021-05-09
120,0.49163222,2021-05-15
121,0.391927491,2021-05-17
122,0.454602375,2021-05-27
123,0.403208937,2021-05-29
124,0.530215386,2021-06-02
125,0.537123526,2021-06-08
126,0.34262317,2021-06-10
127,0.604229167,2021-06-14
128,0.570158565,2021-06-20
129,0.832865959,2021-06-22
130,0.555830979,2021-06-26
131,0.381429178,2021-07-02
132,0.433491224,2021-07-04
133,0.391799606,2021-07-08
134,0.405897797,2021-07-14
135,0.215601833,2021-07-16
136,0.676427399,2021-07-20
137,0.62507169,2021-07-26
138,1.021398959,2021-07-28
139,0.750924696,2021-08-01
140,0.382628567,2021-08-07
141,0.345547972,2021-08-09
142,0.568161141,2021-08-13
143,0.346801458,2021-08-21
144,0.516674238,2021-08-25
145,0.458554503,2021-08-31
146,0.433396136,2021-09-02
147,0.396576003,2021-09-06
148,0.595996907,2021-09-12
149,0.388581443,2021-09-18
150,0.380854042,2021-09-24
151,0.346801477,2021-09-26
152,0.399866239,2021-09-30
153,0.377093539,2021-10-06
154,0.335547853,2021-10-08
155,0.395548644,2021-10-12
156,0.506831454,2021-10-18
157,0.411983384,2021-10-20
158,0.555106783,2021-10-24
159,0.598336984,2021-10-30
160,0.681643277,2021-11-01
161,0.61797522,2021-11-13
162,0.781921534,2021-11-17
163,0.753184511,2021-11-23
164,0.811856657,2021-11-25
165,0.756695915,2021-11-29
166,0.762861836,2021-12-05
167,0.903760375,2021-12-07
168,0.871778698,2021-12-11
