Key*, total, data
1,0.51,2018-09-10
2,0.94,2018-09-18
3,1.03,2018-09-22
4,1.29,2018-09-30
5,1.35,2018-10-04
6,1.51,2018-10-12
7,1.49,2018-10-16
8,1.44,2018-10-24
9,1.41,2018-10-28
10,1.33,2018-11-05
11,1.59,2018-11-09
12,1.67,2018-11-17
13,1.68,2018-11-21
14,1.7,2018-11-29
15,1.68,2018-12-03
16,1.67,2018-12-11
17,1.68,2018-12-15
18,1.67,2018-12-23
19,1.67,2018-12-27
20,1.68,2019-01-04
21,1.67,2019-01-28
22,1.49,2019-02-21
23,1.44,2019-02-25
24,1.35,2019-03-05
25,1.29,2019-03-09
26,1.21,2019-03-17
27,1.17,2019-03-21
28,1.06,2019-03-29
29,1.03,2019-04-02
30,0.93,2019-04-10
31,0.84,2019-04-22
32,0.68,2019-05-04
33,0.68,2019-05-08
34,0.68,2019-05-16
35,0.69,2019-05-20
36,0.84,2019-05-28
37,0.93,2019-06-09
38,1.11,2019-06-25
39,1.09,2019-07-03
40,1.08,2019-07-15
41,1.14,2019-07-19
42,1.23,2019-07-31
43,1.24,2019-08-08
44,1.25,2019-08-12
45,1.23,2019-08-20
46,1.19,2019-09-01
47,1.26,2019-09-05
48,1.31,2019-09-17
49,1.51,2019-09-25
50,1.47,2019-10-07
51,1.41,2019-10-11
52,1.33,2019-10-23
53,1.26,2019-10-31
54,1.22,2019-11-04
55,1.29,2019-11-12
56,1.34,2019-11-22
57,1.26,2019-11-28
58,0.96,2019-12-18
59,0.83,2019-12-30
60,0.75,2020-01-03
61,0.68,2020-01-09
62,0.45,2020-02-04
63,0.36,2020-02-26
64,0.35,2020-02-28
65,0.34,2020-03-03
66,0.34,2020-03-09
67,0.34,2020-03-11
68,0.33,2020-03-23
69,0.33,2020-03-27
70,0.32,2020-04-02
71,0.3,2020-04-08
72,0.27,2020-04-14
73,0.27,2020-04-20
74,0.23,2020-05-26
75,0.34,2020-06-01
76,0.39,2020-06-03
77,0.46,2020-06-25
78,0.49,2020-07-01
79,0.5,2020-07-07
80,0.51,2020-07-13
81,0.5,2020-07-21
82,0.6,2020-08-12
83,0.61,2020-08-14
84,0.64,2020-08-18
85,0.7,2020-08-24
86,0.7,2020-08-26
87,0.69,2020-09-07
88,0.8,2020-09-17
89,0.81,2020-09-23
90,0.96,2020-10-01
91,1.05,2020-10-05
92,1.62,2020-10-29
93,1.64,2020-11-04
94,1.64,2020-11-10
95,1.66,2020-11-16
96,1.67,2020-12-04
97,1.67,2020-12-10
98,1.58,2021-01-15
99,1.51,2021-01-21
100,1.5,2021-01-27
101,1.36,2021-02-22
102,1.31,2021-02-26
103,1.29,2021-03-04
