Key*,total,data
1,1.21607244,2018-09-10
2,1.645401297,2018-09-18
3,1.73403137,2018-09-22
4,1.992470461,2018-09-30
5,2.053742321,2018-10-04
6,2.219606537,2018-10-12
7,2.193212574,2018-10-16
8,2.149608562,2018-10-24
9,2.111660012,2018-10-28
10,2.032404647,2018-11-05
11,2.295624442,2018-11-09
12,2.376465823,2018-11-17
13,2.385309159,2018-11-21
14,2.404084244,2018-11-29
15,2.391224111,2018-12-03
16,2.376465823,2018-12-11
17,2.385309159,2018-12-15
18,2.379230879,2018-12-23
19,2.376465823,2018-12-27
20,2.391224111,2019-01-04
21,2.376465823,2019-01-28
22,2.197549649,2019-02-21
23,2.147332643,2019-02-25
24,2.051974207,2019-03-05
25,1.994289772,2019-03-09
26,1.9197669,2019-03-17
27,1.875216646,2019-03-21
28,1.764197661,2019-03-29
29,1.737871451,2019-04-02
30,1.636340824,2019-04-10
31,1.547009099,2019-04-22
32,1.383479969,2019-05-04
33,1.388579472,2019-05-08
34,1.387348945,2019-05-16
35,1.394282028,2019-05-20
36,1.543980327,2019-05-28
37,1.637250016,2019-06-09
38,1.815807845,2019-06-25
39,1.794963068,2019-07-03
40,1.783194189,2019-07-15
41,1.845148757,2019-07-19
42,1.938757171,2019-07-31
43,1.943774608,2019-08-08
44,1.954114593,2019-08-12
45,1.932786112,2019-08-20
46,1.898096794,2019-09-01
47,1.96381013,2019-09-05
48,2.014595462,2019-09-17
49,2.219606537,2019-09-25
50,2.173682968,2019-10-07
51,2.12046829,2019-10-11
52,2.041005281,2019-10-23
53,1.96381013,2019-10-31
54,1.924340584,2019-11-04
55,1.99621798,2019-11-12
56,2.04354575,2019-11-22
57,1.968368847,2019-11-28
58,1.669401666,2019-12-18
59,1.537747019,2019-12-30
60,1.455626644,2020-01-03
61,1.383479969,2020-01-09
62,1.159001334,2020-02-04
63,1.06687626,2020-02-26
64,1.054835963,2020-02-28
65,1.047871812,2020-03-03
66,1.042716734,2020-03-09
67,1.042716734,2020-03-11
68,1.034183709,2020-03-23
69,1.032690796,2020-03-27
70,1.027876218,2020-04-02
71,1.009769705,2020-04-08
72,0.981276782,2020-04-14
73,0.977058922,2020-04-20
74,0.938709611,2020-05-26
75,1.044269596,2020-06-01
76,1.098208215,2020-06-03
77,1.167157284,2020-06-25
78,1.197963083,2020-07-01
79,1.206458452,2020-07-07
80,1.216995405,2020-07-13
81,1.203106293,2020-07-21
82,1.30868494,2020-08-12
83,1.316031889,2020-08-14
84,1.348740682,2020-08-18
85,1.410603454,2020-08-24
86,1.407382471,2020-08-26
87,1.395236674,2020-09-07
88,1.505577074,2020-09-17
89,1.513121083,2020-09-23
90,1.662307514,2020-10-01
91,1.760355509,2020-10-05
92,2.330237885,2020-10-29
93,2.348225758,2020-11-04
94,2.34329889,2020-11-10
95,2.3686685,2020-11-16
96,2.379230879,2020-12-04
97,2.379230879,2020-12-10
98,2.289188511,2021-01-15
99,2.219606537,2021-01-21
100,2.206008449,2021-01-27
101,2.066299678,2021-02-22
102,2.020708729,2021-02-26
103,1.992097254,2021-03-04
104,1.281328272,2021-03-06
105,2.618935612,2021-03-10
106,2.29515125,2021-03-16
107,0.761544106,2021-03-18
108,2.602297668,2021-03-22
109,1.935956698,2021-03-28
110,0.814249211,2021-03-30
111,1.930822699,2021-04-03
112,2.29961337,2021-04-09
113,0.890857872,2021-04-11
114,1.716893183,2021-04-15
115,1.112183206,2021-04-21
116,0.95434881,2021-04-23
117,2.034296192,2021-04-27
118,2.288710878,2021-05-03
119,2.46416027,2021-05-05
120,1.725324552,2021-05-09
121,1.835176735,2021-05-15
122,1.002073273,2021-05-17
123,1.323278573,2021-05-27
124,1.102099619,2021-05-29
125,1.974915034,2021-06-02
126,1.690455423,2021-06-08
127,1.105933739,2021-06-10
128,2.201625118,2021-06-14
129,2.102035877,2021-06-20
130,2.594981423,2021-06-22
131,1.72695558,2021-06-26
132,1.080537648,2021-07-02
133,1.020003132,2021-07-04
134,1.028044066,2021-07-08
135,0.834408245,2021-07-14
136,0.569434818,2021-07-16
137,2.165460667,2021-07-20
138,2.287778938,2021-07-26
139,2.601487961,2021-07-28
140,2.329011017,2021-08-01
141,0.518239303,2021-08-07
142,0.565069725,2021-08-09
143,1.379309504,2021-08-13
144,0.476078109,2021-08-21
145,0.583195762,2021-08-25
146,0.874750769,2021-08-31
147,0.813080125,2021-09-02
148,0.733320844,2021-09-06
149,1.77090956,2021-09-12
150,0.975777086,2021-09-18
151,1.134702322,2021-09-24
152,1.107521046,2021-09-26
153,1.531284198,2021-09-30
154,1.424445477,2021-10-06
155,0.925381162,2021-10-08
156,1.546289415,2021-10-12
157,1.856553026,2021-10-18
158,1.557514358,2021-10-20
159,2.089436211,2021-10-24
160,2.005693368,2021-10-30
161,2.227596912,2021-11-01
162,1.741639001,2021-11-13
163,2.208089856,2021-11-17
164,2.189269657,2021-11-23
165,2.449883097,2021-11-25
166,2.142236672,2021-11-29
167,2.426045179,2021-12-05
168,2.827257501,2021-12-07
169,2.90117915,2021-12-11
