Key*, total, data
1,9.51,2018-09-06
2,9.13,2018-09-10
3,10.66,2018-09-18
4,11.16,2018-09-22
5,11.18,2018-09-30
6,12.45,2018-10-04
7,12.81,2018-10-12
8,12.81,2018-10-16
9,12.81,2018-10-24
10,12.81,2018-10-28
11,12.77,2018-11-05
12,12.81,2018-11-09
13,12.77,2018-11-17
14,15.05,2018-11-21
15,32.25,2018-11-29
16,32.25,2018-12-03
17,32.25,2018-12-11
18,32.25,2018-12-15
19,32.25,2018-12-23
20,32.25,2018-12-27
21,32.25,2019-01-04
22,30.04,2019-01-28
23,24.6,2019-02-21
24,23.17,2019-02-25
25,20.99,2019-03-05
26,20.48,2019-03-09
27,17.82,2019-03-17
28,17.16,2019-03-21
29,16.41,2019-03-29
30,16.08,2019-04-02
31,15.6,2019-04-10
32,15.07,2019-04-22
33,14.41,2019-05-04
34,14,2019-05-08
35,13.42,2019-05-16
36,12.9,2019-05-20
37,12.4,2019-05-28
38,12.18,2019-06-09
39,11.35,2019-06-25
40,10.91,2019-07-03
41,10.34,2019-07-15
42,10.45,2019-07-19
43,10.52,2019-07-31
44,10.32,2019-08-08
45,10.21,2019-08-12
46,9.98,2019-08-20
47,9.23,2019-09-01
48,8.89,2019-09-05
49,8.83,2019-09-17
50,9.38,2019-09-25
51,9.48,2019-10-07
52,9.48,2019-10-11
53,9.48,2019-10-23
54,9.48,2019-10-31
55,9.48,2019-11-04
56,9.48,2019-11-12
57,9.51,2019-11-22
58,9.51,2019-11-28
59,9.32,2019-12-18
60,9.32,2019-12-30
61,9.13,2020-01-03
62,9.13,2020-01-09
63,8.72,2020-02-04
64,7.52,2020-02-26
65,7.52,2020-02-28
66,7.09,2020-03-03
67,7.01,2020-03-09
68,7.01,2020-03-11
69,6.56,2020-03-23
70,6.56,2020-03-27
71,6.14,2020-04-02
72,6.14,2020-04-08
73,5.88,2020-04-14
74,4.54,2020-04-20
75,2.05,2020-05-26
76,0.66,2020-06-01
77,0.64,2020-06-03
78,0.19,2020-06-25
79,0.25,2020-07-01
80,0.25,2020-07-07
81,0.25,2020-07-13
82,0.02,2020-07-21
83,0.02,2020-08-12
84,0.02,2020-08-14
85,0.02,2020-08-18
86,0.02,2020-08-24
87,0.02,2020-08-26
88,0.02,2020-09-07
89,0.02,2020-09-17
90,0.02,2020-09-23
91,9.22,2020-10-05
92,14.62,2020-10-23
93,15.53,2020-10-29
94,16.02,2020-11-04
95,16.66,2020-11-10
96,17.12,2020-11-16
97,25.05,2020-12-04
98,25.76,2020-12-10
99,21.68,2021-01-15
100,21.23,2021-01-21
101,20.73,2021-01-27
102,14.89,2021-02-22
103,14.66,2021-02-26
104,14.43,2021-03-04
