Key*,total,data
1,7.694865437,2018-09-06
2,7.317486739,2018-09-10
3,8.845330126,2018-09-18
4,9.347934564,2018-09-22
5,9.367471496,2018-09-30
6,10.63245089,2018-10-04
7,10.99505504,2018-10-12
8,10.99505504,2018-10-16
9,10.99505504,2018-10-24
10,10.99505504,2018-10-28
11,10.95575993,2018-11-05
12,10.99505504,2018-11-09
13,10.95575993,2018-11-17
14,13.23501873,2018-11-21
15,30.43534125,2018-11-29
16,30.43534125,2018-12-03
17,30.43534125,2018-12-11
18,30.43534125,2018-12-15
19,30.43534125,2018-12-23
20,30.43534125,2018-12-27
21,30.43534125,2019-01-04
22,28.22559283,2019-01-28
23,22.78078876,2019-02-21
24,21.35466487,2019-02-25
25,19.17748287,2019-03-05
26,18.66164788,2019-03-09
27,16.0098779,2019-03-17
28,15.34545709,2019-03-21
29,14.59130226,2019-03-29
30,14.26456478,2019-04-02
31,13.78087778,2019-04-10
32,13.25718422,2019-04-22
33,12.59959259,2019-05-04
34,12.1807928,2019-05-08
35,11.60969358,2019-05-16
36,11.08877422,2019-05-20
37,10.59008836,2019-05-28
38,10.36731155,2019-06-09
39,9.538444795,2019-06-25
40,9.091882239,2019-07-03
41,8.521792715,2019-07-15
42,8.639596849,2019-07-19
43,8.707083451,2019-07-31
44,8.505594454,2019-08-08
45,8.397843392,2019-08-12
46,8.169268765,2019-08-20
47,7.413624582,2019-09-01
48,7.07122237,2019-09-05
49,7.013422432,2019-09-17
50,7.56847433,2019-09-25
51,7.666984165,2019-10-07
52,7.666984165,2019-10-11
53,7.666984165,2019-10-23
54,7.666984165,2019-10-31
55,7.666984165,2019-11-04
56,7.666984165,2019-11-12
57,7.694865437,2019-11-22
58,7.694865437,2019-11-28
59,7.506175774,2019-12-18
60,7.506175774,2019-12-30
61,7.317486739,2020-01-03
62,7.317486739,2020-01-09
63,6.90873243,2020-02-04
64,5.706070251,2020-02-26
65,5.706070251,2020-02-28
66,5.275887571,2020-03-03
67,5.198242343,2020-03-09
68,5.198242343,2020-03-11
69,4.745496886,2020-03-23
70,4.745496886,2020-03-27
71,4.325783395,2020-04-02
72,4.325783395,2020-04-08
73,4.063470323,2020-04-14
74,2.728793774,2020-04-20
75,0.238864067,2020-05-26
76,7.409829992,2020-10-05
77,12.81021216,2020-10-23
78,13.71418615,2020-10-29
79,14.20470146,2020-11-04
80,14.84894019,2020-11-10
81,15.30852987,2020-11-16
82,23.23962208,2020-12-04
83,23.94992086,2020-12-10
84,19.86056745,2021-01-15
85,19.41808723,2021-01-21
86,18.9115498,2021-01-27
87,13.07364096,2021-02-22
88,12.84186261,2021-02-26
89,12.62019803,2021-03-04
90,16.97443794,2021-03-06
91,40.07212977,2021-03-10
92,40.05912233,2021-03-16
93,11.1375174,2021-03-18
94,28.66662826,2021-03-22
95,38.85743325,2021-03-28
96,33.75432637,2021-03-30
97,39.1134471,2021-04-03
98,39.10139141,2021-04-09
99,8.067131,2021-04-11
100,37.95373849,2021-04-15
101,34.1604551,2021-04-21
102,31.67068798,2021-04-23
103,37.67791223,2021-04-27
104,38.73033697,2021-05-03
105,38.18184846,2021-05-05
106,35.73317317,2021-05-09
107,35.64730356,2021-05-15
108,21.25097748,2021-05-17
109,33.15117244,2021-05-27
110,27.53931755,2021-05-29
111,34.9979996,2021-06-02
112,33.61421049,2021-06-08
113,28.06879728,2021-06-10
114,36.1753337,2021-06-14
115,35.86931825,2021-06-20
116,37.47616335,2021-06-22
117,35.25811874,2021-06-26
118,28.46422897,2021-07-02
119,28.26680812,2021-07-04
120,28.347422,2021-07-08
121,27.96596169,2021-07-14
122,6.136680414,2021-07-16
123,35.12398628,2021-07-20
124,35.03542076,2021-07-26
125,37.93347376,2021-07-28
126,36.37879214,2021-08-01
127,26.7517196,2021-08-07
128,1.048589068,2021-08-09
129,25.87843788,2021-08-13
130,18.4259169,2021-08-21
131,23.08121868,2021-08-25
132,23.37580654,2021-08-31
133,22.79743379,2021-09-02
134,23.03154889,2021-09-06
135,27.07353231,2021-09-12
136,27.12206458,2021-09-18
137,25.06995158,2021-09-24
138,15.65802422,2021-09-26
139,25.15006837,2021-09-30
140,25.30383828,2021-10-06
141,18.11750046,2021-10-08
142,26.23790989,2021-10-12
143,28.73831315,2021-10-18
144,12.22707084,2021-10-20
145,28.8990002,2021-10-24
146,30.58528292,2021-10-30
147,33.578402,2021-11-01
148,12.07960452,2021-11-13
149,39.81096534,2021-11-17
150,34.29409953,2021-11-23
151,40.69082495,2021-11-25
