Key*,total,data
1,5.819934473,2015-02-22
2,3.398099833,2015-03-30
3,0.099913553,2015-05-17
4,4.480380028,2015-07-04
5,3.970437639,2015-07-28
6,10.95130939,2015-08-21
7,12.5049498,2015-09-14
8,14.12658201,2015-10-08
9,14.84412796,2015-11-01
10,30.45140127,2015-11-25
11,30.39664257,2015-12-19
12,31.23100769,2016-01-12
13,30.39664257,2016-02-05
14,25.69638572,2016-02-29
15,22.0926931,2016-03-24
16,20.46717798,2016-04-05
17,19.2040251,2016-04-17
18,17.76705966,2016-04-29
19,16.00549601,2016-05-11
20,14.91120889,2016-05-23
21,14.84412796,2016-06-04
22,18.05026788,2016-06-28
23,17.93137161,2016-07-10
24,15.29376871,2016-07-22
25,15.47159627,2016-08-03
26,18.7684064,2016-08-15
27,17.85400668,2016-08-27
28,19.43366021,2016-09-08
29,21.64382274,2016-09-20
30,33.41313356,2016-10-02
31,44.81353014,2016-10-14
32,50.30526382,2016-10-26
33,50.91363738,2018-02-02
34,67.16227934,2018-02-26
35,4.605085104,2018-03-14
36,37.87800848,2018-04-07
37,28.98640524,2018-04-15
38,26.09208244,2018-04-27
39,28.3784398,2018-05-21
40,30.24987659,2018-06-14
41,42.91853255,2018-06-26
42,57.92465345,2018-08-25
43,60.38252453,2018-09-06
44,0.098664331,2018-09-30
45,40.07561712,2018-10-12
46,62.03626279,2018-10-24
47,67.28942726,2018-11-05
48,66.71005046,2018-11-17
49,46.71679871,2018-12-23
50,68.53689028,2019-01-16
51,40.45729384,2019-02-09
52,49.99047588,2019-02-21
53,25.85209274,2019-03-05
54,60.89856886,2019-03-29
55,36.88744572,2019-04-10
56,37.88734566,2019-04-22
57,43.32456945,2019-06-09
58,22.03045135,2019-06-13
59,47.87245784,2019-06-21
60,63.61373318,2019-11-12
61,46.45824906,2019-11-28
62,68.66901306,2019-12-30
63,48.9005883,2020-01-23
64,58.4424953,2020-02-08
65,21.45624197,2020-02-16
66,68.60098881,2020-03-09
67,32.70123296,2020-03-11
68,32.11087801,2020-03-23
69,63.90525741,2020-03-27
70,67.49398922,2020-04-02
71,64.07962285,2020-04-04
72,64.51231007,2020-04-08
73,65.4359915,2020-04-14
74,24.83360369,2020-04-16
75,65.40818578,2020-04-20
76,51.25298998,2020-04-26
77,61.78490047,2020-04-28
78,48.65892679,2020-05-02
79,64.51231007,2020-05-08
