Key*,total,data
1,4.06,2015-02-22
2,0.87,2015-09-14
3,1.04,2015-10-08
4,11.58,2016-01-12
5,7.55,2016-02-29
6,5.3,2016-03-24
7,1.29,2016-05-23
8,1.76,2016-07-10
9,1.38,2016-08-03
10,1.49,2016-08-27
11,1.75,2016-09-20
12,4.1,2016-10-02
13,7.05,2016-10-14
14,8.93,2016-10-26
15,15.19,2017-11-10
16,15.29,2017-12-04
17,11.93,2018-01-01
18,13.18,2018-01-09
19,8.46,2018-01-13
20,13.31,2018-01-21
21,13,2018-01-25
22,13.17,2018-02-02
23,13.08,2018-02-06
24,13.11,2018-02-14
25,13.16,2018-02-18
26,12.94,2018-02-26
27,13.07,2018-03-02
28,13.12,2018-03-10
29,12.92,2018-03-14
30,12.8,2018-03-22
31,12.73,2018-03-26
32,12.89,2018-04-03
33,7.4,2018-04-07
34,12.79,2018-04-15
35,12.27,2018-04-19
36,12.63,2018-04-27
37,12.41,2018-05-01
38,12.21,2018-05-09
39,12.42,2018-05-13
40,12.62,2018-05-21
41,12.04,2018-05-25
42,10.87,2018-06-02
43,8.4,2018-06-06
44,11.05,2018-06-14
45,8.52,2018-06-18
46,9.25,2018-06-26
47,8.81,2018-06-30
48,7.91,2018-07-08
49,7.31,2018-07-12
50,7.35,2018-07-20
51,3.62,2018-07-24
52,6.53,2018-08-01
53,3.92,2018-08-05
54,1.67,2018-08-17
55,1.82,2018-08-25
56,1.01,2018-08-29
57,1.65,2018-09-06
58,0.99,2018-09-10
59,1.79,2018-09-18
60,1.74,2018-09-22
61,2.39,2018-09-30
62,1.68,2018-10-04
63,2.48,2018-10-12
64,2.34,2018-10-16
65,2.28,2018-10-24
66,2.17,2018-10-28
67,2.47,2018-11-05
68,7.08,2018-11-09
69,7.24,2018-11-17
70,8.9,2018-11-21
71,13.16,2018-11-29
72,12.74,2018-12-03
73,13.14,2018-12-11
74,12.13,2018-12-15
75,13.21,2018-12-23
76,12.67,2018-12-27
77,13.24,2019-01-04
78,12.59,2019-01-08
79,13.27,2019-01-16
80,13.25,2019-01-20
81,13.29,2019-01-28
82,13.29,2019-02-01
83,13.3,2019-02-09
84,13.15,2019-02-13
85,13.25,2019-02-21
86,12.66,2019-02-25
87,13.14,2019-03-05
88,13.12,2019-03-09
89,13.14,2019-03-17
90,13.09,2019-03-21
91,12.97,2019-03-29
92,13.14,2019-04-02
93,13.11,2019-04-10
94,12.99,2019-04-14
95,13.12,2019-04-22
96,12.99,2019-04-26
97,12.96,2019-05-04
98,12.24,2019-05-08
99,13,2019-05-16
100,12.49,2019-05-20
101,12.95,2019-05-28
102,12.81,2019-06-01
103,12.88,2019-06-09
104,0.77,2019-06-13
105,12.73,2019-06-21
106,11.06,2019-06-25
107,12.51,2019-07-03
108,12.46,2019-07-07
109,12.28,2019-07-15
110,11.01,2019-07-19
111,11.81,2019-07-27
112,8.18,2019-07-31
113,12.2,2019-08-08
114,11.27,2019-08-12
115,10.41,2019-08-20
116,10.09,2019-08-24
117,11.98,2019-09-01
118,6.72,2019-09-05
119,8.37,2019-09-13
120,8.57,2019-09-17
121,9.3,2019-09-25
122,8.49,2019-09-29
123,8.79,2019-10-07
124,7.99,2019-10-11
125,7.83,2019-10-19
126,7.55,2019-10-23
127,7.51,2019-10-31
128,7.47,2019-11-04
129,7.23,2019-11-10
130,8.58,2019-11-12
131,8.04,2019-11-16
132,7.38,2019-11-22
133,8.65,2019-11-24
134,7.1,2019-11-28
135,7.15,2019-12-04
136,7.43,2019-12-06
137,5.53,2019-12-10
138,4.3,2019-12-16
139,5.73,2019-12-18
140,3.61,2019-12-22
141,4.48,2019-12-28
142,7.15,2019-12-30
143,3.43,2020-01-03
144,3.71,2020-01-09
145,5.61,2020-01-11
146,3.47,2020-01-15
147,3.23,2020-01-21
148,4.37,2020-01-23
149,3.51,2020-01-27
150,3.25,2020-02-02
151,3.95,2020-02-04
152,1.98,2020-02-08
153,3.04,2020-02-14
154,3.88,2020-02-16
155,3.07,2020-02-20
156,2.93,2020-02-26
157,3.64,2020-02-28
158,2.09,2020-03-03
159,2.18,2020-03-09
160,3.06,2020-03-11
161,2.12,2020-03-15
162,1.81,2020-03-21
163,3.31,2020-03-23
164,1.67,2020-03-27
165,1.71,2020-04-02
166,2.26,2020-04-04
167,1.36,2020-04-08
168,1.36,2020-04-14
169,2.18,2020-04-16
170,1.31,2020-04-20
171,1.19,2020-04-26
172,2.19,2020-04-28
173,1.21,2020-05-02
174,1.21,2020-05-08
175,1.76,2020-05-10
176,1.03,2020-05-14
177,1.02,2020-05-20
178,1.61,2020-05-22
