Key*, total, data
1,0.5,2018-09-06
2,0.5,2018-09-10
3,0.5,2018-09-18
4,0.5,2018-09-22
5,0.5,2018-09-30
6,0.5,2018-10-04
7,0.53,2018-10-12
8,0.53,2018-10-16
9,0.53,2018-10-24
10,0.53,2018-10-28
11,0.53,2018-11-05
12,0.97,2018-11-09
13,0.99,2018-11-17
14,2.03,2018-11-21
15,2.03,2018-11-29
16,2.03,2018-12-11
17,2.03,2018-12-15
18,2.03,2018-12-23
19,1.99,2018-12-27
20,2.03,2019-01-04
21,1.94,2019-01-28
22,1.76,2019-02-21
23,1.74,2019-02-25
24,1.62,2019-03-05
25,1.6,2019-03-09
26,1.44,2019-03-17
27,1.41,2019-03-21
28,1.37,2019-03-29
29,1.35,2019-04-02
30,1.21,2019-04-10
31,1.02,2019-04-22
32,1.01,2019-05-04
33,0.99,2019-05-08
34,0.97,2019-05-16
35,0.97,2019-05-20
36,0.99,2019-05-28
37,1.02,2019-06-09
38,1.14,2019-06-25
39,1.04,2019-07-03
40,1.01,2019-07-15
41,1.42,2019-07-19
42,1.4,2019-07-31
43,1.35,2019-08-08
44,1.31,2019-08-12
45,1.31,2019-08-20
46,1.22,2019-09-01
47,1.22,2019-09-05
48,1.16,2019-09-17
49,1.2,2019-09-25
50,1.18,2019-10-07
51,1.18,2019-10-11
52,1.15,2019-10-23
53,1.15,2019-10-31
54,1.14,2019-11-04
55,1.21,2019-11-12
56,1.21,2019-11-22
57,1.21,2019-11-28
58,1.15,2019-12-18
59,1.14,2019-12-30
60,1.11,2020-01-03
61,1.08,2020-01-09
62,1.04,2020-02-04
63,0.83,2020-02-26
64,0.83,2020-02-28
65,0.78,2020-03-03
66,0.62,2020-03-09
67,0.62,2020-03-11
68,0.5,2020-03-23
69,0.5,2020-03-27
70,0.48,2020-04-02
71,0.48,2020-04-08
72,0.48,2020-04-14
73,0.48,2020-04-20
74,0.16,2020-05-26
75,0.16,2020-06-01
76,0.15,2020-06-25
77,0.15,2020-07-01
78,0.15,2020-07-07
79,0.15,2020-07-13
80,0.15,2020-07-21
81,0.15,2020-08-12
82,0.15,2020-08-14
83,0.15,2020-08-18
84,0.15,2020-08-24
85,0.15,2020-09-07
86,0.15,2020-09-17
87,0.15,2020-09-23
88,1.01,2020-10-01
89,1.23,2020-10-05
90,2.03,2020-10-29
91,2.03,2020-11-04
92,2.03,2020-11-10
93,2.03,2020-11-16
94,2.03,2020-12-04
95,2.03,2020-12-10
96,2.01,2021-01-15
97,1.86,2021-01-21
98,1.83,2021-01-27
99,1.43,2021-02-22
100,1.4,2021-02-26
101,1.35,2021-03-04
