Key*,total,data
1,0.135403109,2018-09-18
2,0.198757493,2018-09-22
3,0.193227824,2018-10-04
4,0.235023415,2018-10-12
5,0.212982923,2019-04-22
6,0.254275722,2019-05-04
7,0.214954096,2019-05-16
8,0.244409671,2019-05-28
9,0.403560618,2019-07-03
10,0.201253749,2020-03-11
11,0.18382712,2020-03-23
12,0.152475412,2020-06-25
13,0.192427166,2020-08-24
14,0.143228659,2020-09-07
15,0.20468984,2021-03-06
16,0.167793419,2021-03-18
17,0.25129898,2021-03-30
18,0.393500671,2021-04-03
19,0.479802044,2021-04-09
20,0.24047367,2021-04-11
21,0.364387003,2021-04-15
22,0.225021271,2021-04-21
23,0.234640093,2021-05-17
24,0.240832111,2021-05-27
25,0.21697724,2021-05-29
26,0.346101336,2021-06-02
27,0.395619947,2021-06-08
28,0.411189876,2021-06-14
29,0.398237231,2021-06-20
30,0.304228501,2021-06-26
31,0.275727575,2021-07-04
32,0.17803677,2021-07-08
33,0.209255939,2021-07-14
34,0.403418148,2021-07-20
35,0.438186582,2021-07-26
36,0.474832616,2021-08-01
37,0.260741772,2021-08-13
38,0.297218398,2021-08-25
39,0.271661167,2021-09-02
40,0.30466348,2021-09-12
41,0.338382024,2021-09-18
42,0.219641472,2021-09-24
43,0.204409881,2021-09-26
44,0.259495614,2021-09-30
45,0.309683829,2021-10-06
46,0.310622486,2021-10-12
47,0.296836387,2021-10-18
48,0.357658137,2021-10-24
49,0.335436811,2021-10-30
50,0.408908937,2021-11-01
51,0.471066108,2021-11-17
52,0.365841874,2021-11-23
53,0.53064039,2021-11-25
54,0.433785582,2021-11-29
55,0.398831573,2021-12-05
56,0.577694104,2021-12-07
57,0.484201151,2021-12-11
58,0.463147352,2021-12-31
59,0.462366745,2022-01-12
60,0.410622668,2022-01-24
61,0.351589077,2022-02-09
