Key*, total, data
1,0.11,2018-09-06
2,0.11,2018-09-10
3,0.14,2018-09-18
4,0.14,2018-09-22
5,0.2,2018-09-30
6,0.2,2018-10-04
7,0.2,2018-10-12
8,0.2,2018-10-16
9,0.2,2018-10-24
10,0.2,2018-10-28
11,0.2,2018-11-05
12,0.2,2018-11-09
13,0.2,2018-11-17
14,0.64,2018-11-21
15,0.69,2018-11-29
16,0.68,2018-12-03
17,0.68,2018-12-11
18,0.66,2018-12-15
19,0.64,2018-12-23
20,0.63,2018-12-27
21,0.68,2019-01-04
22,0.63,2019-01-28
23,0.51,2019-02-21
24,0.49,2019-02-25
25,0.46,2019-03-05
26,0.44,2019-03-09
27,0.39,2019-03-17
28,0.36,2019-03-21
29,0.31,2019-03-29
30,0.3,2019-04-02
31,0.3,2019-04-10
32,0.28,2019-04-22
33,0.29,2019-05-04
34,0.27,2019-05-08
35,0.27,2019-05-16
36,0.26,2019-05-20
37,0.25,2019-05-28
38,0.35,2019-06-09
39,0.35,2019-06-25
40,0.34,2019-07-03
41,0.55,2019-07-19
42,0.68,2019-07-31
43,0.68,2019-08-08
44,0.68,2019-08-12
45,0.67,2019-08-20
46,0.61,2019-09-01
47,0.6,2019-09-05
48,0.53,2019-09-17
49,0.68,2019-09-25
50,0.64,2019-10-07
51,0.61,2019-10-11
52,0.57,2019-10-23
53,0.55,2019-10-31
54,0.53,2019-11-04
55,0.53,2019-11-12
56,0.52,2019-11-22
57,0.5,2019-11-28
58,0.42,2019-12-18
59,0.39,2019-12-30
60,0.37,2020-01-03
61,0.37,2020-01-09
62,0.34,2020-02-04
63,0.31,2020-02-26
64,0.3,2020-02-28
65,0.3,2020-03-03
66,0.28,2020-03-09
67,0.28,2020-03-11
68,0.26,2020-03-23
69,0.26,2020-03-27
70,0.24,2020-04-02
71,0.21,2020-04-08
72,0.2,2020-04-14
73,0.18,2020-04-20
74,0.11,2020-05-26
75,0.11,2020-06-01
76,0.1,2020-06-03
77,0.07,2020-06-25
78,0.08,2020-07-01
79,0.08,2020-07-07
80,0.08,2020-07-13
81,0.08,2020-07-19
82,0.08,2020-07-21
83,0.08,2020-08-12
84,0.08,2020-08-14
85,0.08,2020-08-18
86,0.09,2020-08-24
87,0.09,2020-09-07
88,0.09,2020-09-17
89,0.09,2020-09-23
90,0.09,2020-10-01
91,0.09,2020-10-05
92,0.54,2020-10-29
93,0.56,2020-11-04
94,0.56,2020-11-10
95,0.57,2020-11-16
96,0.69,2020-12-04
97,0.68,2020-12-10
98,0.61,2021-01-15
99,0.6,2020-01-21
100,0.55,2020-01-27
101,0.44,2020-02-22
102,0.39,2021-02-26
103,0.37,2021-03-04
