Key*,total,data
1,0.666784337,2018-09-06
2,0.666784337,2018-09-10
3,0.70077415,2018-09-18
4,0.70077415,2018-09-22
5,0.761722505,2018-09-30
6,0.761722505,2018-10-04
7,0.761722505,2018-10-12
8,0.761722505,2018-10-16
9,0.761722505,2018-10-24
10,0.761722505,2018-10-28
11,0.761722505,2018-11-05
12,0.761722505,2018-11-09
13,0.761722505,2018-11-17
14,1.194584635,2018-11-21
15,1.194584635,2018-12-23
16,1.182507397,2018-12-27
17,1.182507397,2019-01-28
18,1.069130304,2019-02-21
19,1.048398285,2019-02-25
20,1.01202869,2019-03-05
21,0.992020505,2019-03-09
22,0.949332188,2019-03-17
23,0.914257229,2019-03-21
24,0.865242537,2019-03-29
25,0.852679985,2019-04-02
26,0.852679985,2019-04-10
27,0.841365904,2019-04-22
28,0.84551559,2019-05-04
29,0.830235397,2019-05-08
30,0.822889424,2019-05-16
31,0.81833328,2019-05-20
32,0.811695027,2019-05-28
33,0.907760348,2019-06-09
34,0.904923037,2019-06-25
35,0.894044094,2019-07-03
36,1.107967672,2019-07-19
37,1.170124654,2019-09-01
38,1.15180624,2019-09-05
39,1.090272569,2019-09-17
40,1.194584635,2019-10-07
41,1.170124654,2019-10-11
42,1.127813442,2019-10-23
43,1.107967672,2019-10-31
44,1.090272569,2019-11-04
45,1.090272569,2019-11-12
46,1.079083705,2019-11-22
47,1.060061789,2019-11-28
48,0.980045953,2019-12-18
49,0.949332188,2019-12-30
50,0.924961916,2020-01-03
51,0.924961916,2020-01-09
52,0.894044094,2020-02-04
53,0.865242537,2020-02-26
54,0.852679985,2020-02-28
55,0.852679985,2020-03-03
56,0.841365904,2020-03-09
57,0.841365904,2020-03-11
58,0.81833328,2020-03-23
59,0.81833328,2020-03-27
60,0.79260731,2020-04-02
61,0.769973466,2020-04-08
62,0.761227564,2020-04-14
63,0.735491428,2020-04-20
64,0.666784337,2020-05-26
65,0.663002952,2020-06-01
66,0.652901932,2020-06-03
67,0.62355093,2020-06-25
68,0.633203538,2020-07-01
69,0.633203538,2020-07-07
70,0.633203538,2020-07-13
71,0.633203538,2020-07-19
72,0.633203538,2020-07-21
73,0.633203538,2020-08-12
74,0.633203538,2020-08-14
75,0.633203538,2020-08-18
76,0.64247274,2020-08-24
77,0.64247274,2020-09-07
78,0.64247274,2020-09-17
79,0.64247274,2020-09-23
80,0.64247274,2020-10-01
81,0.64247274,2020-10-05
82,1.098578762,2020-10-29
83,1.117705097,2020-11-04
84,1.117705097,2020-11-10
85,1.127813442,2020-11-16
86,1.170124654,2021-01-15
87,1.15180624,2021-01-21
88,1.107967672,2021-01-27
89,0.992020505,2021-02-22
90,0.949332188,2021-02-26
91,0.924961916,2021-03-04
92,0.616652774,2021-03-06
93,1.179375117,2021-03-10
94,0.94450109,2021-03-16
95,0.486046515,2021-03-18
96,0.728883389,2021-03-28
97,0.513398612,2021-03-30
98,0.911476796,2021-04-03
99,1.15849391,2021-04-09
100,0.307417465,2021-04-11
101,0.756630175,2021-04-15
102,0.427991695,2021-04-21
103,0.303333216,2021-04-23
104,0.549026452,2021-04-27
105,1.026116821,2021-05-03
106,0.576374843,2021-05-09
107,0.514879415,2021-05-15
108,0.33452273,2021-05-17
109,0.419332374,2021-05-27
110,0.237214347,2021-05-29
111,0.603180713,2021-06-02
112,0.658086454,2021-06-08
113,0.265469411,2021-06-10
114,0.720818304,2021-06-14
115,0.834928026,2021-06-20
116,0.819455851,2021-06-26
117,0.292291101,2021-07-02
118,0.416448859,2021-07-04
119,0.370205319,2021-07-08
120,0.184999687,2021-07-14
121,0.174606848,2021-07-16
122,0.902361974,2021-07-20
123,1.177435132,2021-07-26
124,0.310544093,2021-08-07
125,0.246306216,2021-08-09
126,0.220783539,2021-08-13
127,0.242619377,2021-08-21
128,0.593198362,2021-08-25
129,0.203712828,2021-08-31
130,0.372396417,2021-09-02
131,0.340622917,2021-09-06
132,0.731101305,2021-09-12
133,0.535774615,2021-09-18
134,0.279749765,2021-09-24
135,0.255250376,2021-09-26
136,0.49635395,2021-09-30
137,0.394853439,2021-10-06
138,0.245552387,2021-10-08
139,0.456951818,2021-10-12
140,0.423303488,2021-10-18
141,0.291119764,2021-10-20
142,0.483728934,2021-10-24
143,0.803238976,2021-10-30
144,0.854792763,2021-11-01
145,0.928786544,2021-11-13
146,1.098552274,2021-11-17
147,1.053542323,2021-11-23
148,1.141279029,2021-11-25
149,1.116273348,2021-11-29
150,1.075546642,2021-12-05
151,1.194870338,2021-12-07
152,1.170108089,2021-12-11
