Key*, total, data
1,0.23,2018-09-10
2,2.36,2018-09-18
3,2.9,2018-09-22
4,4.14,2018-09-30
5,4.95,2018-10-04
6,5.9,2018-10-12
7,5.97,2018-10-16
8,6.05,2018-10-24
9,6.1,2018-10-28
10,6.07,2018-11-05
11,6.3,2018-11-09
12,6.48,2018-11-17
13,7.15,2018-11-21
14,7.09,2018-11-19
15,7.09,2018-12-03
16,7.06,2018-12-11
17,7.06,2018-12-15
18,7.06,2018-12-23
19,7.06,2018-12-27
20,7.18,2019-01-04
21,7,2019-01-28
22,6.64,2019-02-21
23,6.47,2019-02-25
24,6.21,2019-03-05
25,6.07,2019-03-09
26,5.85,2019-03-17
27,5.7,2019-03-21
28,5.67,2019-03-29
29,5.47,2019-04-02
30,5.36,2019-04-10
31,5.37,2019-04-22
32,5.36,2019-05-04
33,5.05,2019-05-08
34,4.93,2019-05-16
35,4.71,2019-05-20
36,4.48,2019-05-28
37,4.18,2019-06-09
38,3.75,2019-06-25
39,3.34,2019-07-03
40,3.12,2019-07-15
41,3.21,2019-07-19
42,4.06,2019-07-31
43,3.75,2019-08-08
44,3.58,2019-08-12
45,3.12,2019-08-20
46,2.54,2019-09-01
47,2.52,2019-09-05
48,2.8,2019-09-17
49,4.11,2019-09-25
50,3.21,2019-10-07
51,3.01,2019-10-11
52,2.44,2019-10-23
53,2.19,2019-10-31
54,2.13,2019-11-04
55,2.67,2019-11-12
56,2.66,2019-11-22
57,2.59,2019-11-28
58,2.21,2019-12-18
59,2.11,2019-12-30
60,2.1,2020-01-03
61,2.08,2020-01-09
62,1.65,2020-02-04
63,1.45,2020-02-26
64,1.44,2020-02-28
65,1.34,2020-03-03
66,1.33,2020-03-09
67,1.33,2020-03-11
68,1.3,2020-03-23
69,1.29,2020-03-27
70,1.21,2020-04-02
71,1.2,2020-04-08
72,1.18,2020-04-14
73,1.03,2020-04-20
74,0.48,2020-05-26
75,0.44,2020-06-01
76,0.44,2020-06-03
77,1.43,2020-06-25
78,2.14,2020-07-01
79,2.34,2020-07-07
80,2.34,2020-07-13
81,2.43,2020-07-21
82,3.71,2020-08-12
83,3.75,2020-08-14
84,3.93,2020-08-18
85,4.14,2020-08-24
86,4.08,2020-08-26
87,3.7,2020-09-07
88,3.47,2020-09-17
89,3.55,2020-09-23
90,6.29,2020-10-01
91,6.75,2020-10-05
92,5.84,2020-10-23
93,5.7,2020-10-29
94,6.29,2020-11-04
95,5.7,2020-11-10
96,6.75,2020-11-16
97,7.18,2020-12-04
98,7.11,2020-12-10
99,6.58,2021-01-15
100,6.35,2021-01-21
101,6.1,2021-01-27
102,4.92,2021-02-22
103,4.68,2021-02-26
104,4.31,2021-03-04
