Key*,total,data
1,0.351180528,2018-09-10
2,4.431536952,2018-09-18
3,5.414287009,2018-09-22
4,7.725348865,2018-09-30
5,9.252378951,2018-10-04
6,11.09672217,2018-10-12
7,11.23299279,2018-10-16
8,11.38253082,2018-10-24
9,11.49767078,2018-10-28
10,11.43857136,2018-11-05
11,11.88422133,2018-11-09
12,12.25190375,2018-11-17
13,13.38476353,2018-12-11
14,13.38476353,2018-12-15
15,13.38476353,2018-12-23
16,13.38476353,2018-12-27
17,13.26381414,2019-01-28
18,12.55629627,2019-02-21
19,12.2295872,2019-02-25
20,11.70568238,2019-03-05
21,11.43857136,2019-03-09
22,10.99857043,2019-03-17
23,10.70524244,2019-03-21
24,10.64528535,2019-03-29
25,10.26017715,2019-04-02
26,10.03986879,2019-04-10
27,10.07253516,2019-04-22
28,10.03986879,2019-05-04
29,9.434983436,2019-05-08
30,9.21381517,2019-05-16
31,8.776346072,2019-05-20
32,8.349878708,2019-05-28
33,7.775958508,2019-06-09
34,6.995601576,2019-06-25
35,6.214818567,2019-07-03
36,5.82575322,2019-07-15
37,5.970322261,2019-07-19
38,7.565865025,2019-07-31
39,6.995601576,2019-08-08
40,6.66074543,2019-08-12
41,5.823814561,2019-08-20
42,4.760144578,2019-09-01
43,4.719677352,2019-09-05
44,5.228167787,2019-09-17
45,7.660409551,2019-09-25
46,5.970322261,2019-10-07
47,5.624083449,2019-10-11
48,4.570164884,2019-10-23
49,4.113013957,2019-10-31
50,4.00792817,2019-11-04
51,5.00166336,2019-11-12
52,4.980915656,2019-11-22
53,4.848361904,2019-11-28
54,4.151687288,2019-12-18
55,3.969325824,2019-12-30
56,3.948644824,2020-01-03
57,3.913134565,2020-01-09
58,3.101004364,2020-02-04
59,2.735463962,2020-02-26
60,2.71680877,2020-02-28
61,2.535908396,2020-03-03
62,2.519714264,2020-03-09
63,2.51512043,2020-03-11
64,2.453425167,2020-03-23
65,2.444355844,2020-03-27
66,2.301427087,2020-04-02
67,2.271716758,2020-04-08
68,2.241210406,2020-04-14
69,1.972382333,2020-04-20
70,0.785376756,2020-05-26
71,0.719072958,2020-06-01
72,0.713300621,2020-06-03
73,2.702479145,2020-06-25
74,4.024599507,2020-07-01
75,4.382429293,2020-07-07
76,4.398537059,2020-07-13
77,4.551216666,2020-07-21
78,6.910747633,2020-08-12
79,6.995601576,2020-08-14
80,7.320976201,2020-08-18
81,7.722080525,2020-08-24
82,7.597487849,2020-08-26
83,6.900126466,2020-09-07
84,6.464635488,2020-09-17
85,6.602453578,2020-09-23
86,11.8631374,2020-10-01
87,12.7702744,2020-10-05
88,10.97842544,2020-10-23
89,10.70524244,2020-10-29
90,11.8631374,2020-11-04
91,10.70524244,2020-11-10
92,12.7702744,2020-11-16
93,12.44600034,2021-01-15
94,11.9822554,2021-01-21
95,11.48602078,2021-01-27
96,9.179007681,2021-02-22
97,8.729848743,2021-02-26
98,8.014094001,2021-03-04
99,7.017393538,2021-03-06
100,9.183000292,2021-03-10
101,8.006365381,2021-03-16
102,5.77639753,2021-03-18
103,8.354665293,2021-03-22
104,6.643478663,2021-03-28
105,5.352698722,2021-03-30
106,6.832224469,2021-04-03
107,7.033798012,2021-04-09
108,3.394576241,2021-04-11
109,5.890667382,2021-04-15
110,5.03130185,2021-04-21
111,4.66318526,2021-04-23
112,5.599479959,2021-04-27
113,6.546049695,2021-05-03
114,7.028205823,2021-05-05
115,6.054838713,2021-05-09
116,6.43244066,2021-05-15
117,5.269094906,2021-05-17
118,6.269706684,2021-05-27
119,5.299573259,2021-05-29
120,6.79598025,2021-06-02
121,6.520340939,2021-06-08
122,5.521455389,2021-06-10
123,7.036442118,2021-06-14
124,7.051697686,2021-06-20
125,7.828153221,2021-06-22
126,6.550030805,2021-06-26
127,5.757747187,2021-07-02
128,5.70533886,2021-07-04
129,5.710420657,2021-07-08
130,5.594602948,2021-07-14
131,3.791505815,2021-07-16
132,7.227544029,2021-07-20
133,7.072594371,2021-07-26
134,8.024365499,2021-07-28
135,7.316508195,2021-08-01
136,4.512013164,2021-08-07
137,4.825540573,2021-08-09
138,5.061842066,2021-08-13
139,4.424540993,2021-08-21
140,5.408027585,2021-08-25
141,5.636053563,2021-08-31
142,5.768633406,2021-09-02
143,5.397103315,2021-09-06
144,8.443845043,2021-09-12
145,8.610158937,2021-09-18
146,8.883822696,2021-09-24
147,8.711924786,2021-09-26
148,9.504360348,2021-09-30
149,10.44431036,2021-10-06
150,7.394040322,2021-10-08
151,10.90201098,2021-10-12
152,11.0233164,2021-10-18
153,10.14942279,2021-10-20
154,11.19722217,2021-10-24
155,11.15781738,2021-10-30
156,11.30672375,2021-11-01
157,10.36311477,2021-11-13
158,11.69206515,2021-11-17
159,11.4731433,2021-11-23
160,12.05706065,2021-11-25
161,11.55042154,2021-11-29
162,11.46176823,2021-12-05
163,12.27383676,2021-12-07
164,11.92078983,2021-12-11
