Key*, total, data
1,0.99,2018-09-06
2,0.94,2018-09-10
3,2.18,2018-09-18
4,2.18,2018-09-22
5,2.18,2018-09-30
6,2.15,2018-10-04
7,2.18,2018-10-12
8,2.15,2018-10-16
9,2.15,2018-10-24
10,2.11,2018-10-28
11,1.91,2018-11-05
12,2.54,2018-11-09
13,2.51,2018-11-17
14,2.7,2018-11-21
15,2.92,2018-11-29
16,2.79,2018-12-03
17,2.7,2018-12-11
18,2.79,2018-12-15
19,2.7,2018-12-23
20,2.7,2018-12-27
21,2.84,2019-01-04
22,2.6,2019-01-28
23,2.49,2019-02-21
24,2.46,2019-02-25
25,2.3,2019-03-05
26,2.2,2019-03-09
27,2.09,2019-03-17
28,2,2019-03-21
29,1.85,2019-03-29
30,1.78,2019-04-02
31,1.65,2019-04-10
32,1.56,2019-04-22
33,1.4,2019-04-04
34,1.45,2019-05-08
35,1.45,2019-05-16
36,1.42,2019-05-20
37,1.59,2019-05-28
38,1.53,2019-06-09
39,1.54,2019-06-25
40,1.49,2019-07-03
41,1.4,2019-07-15
42,1.39,2019-07-19
43,1.24,2019-07-31
44,1.12,2019-08-08
45,1.09,2019-08-12
46,1.03,2019-08-20
47,0.99,2019-09-01
48,0.96,2019-09-05
49,0.82,2019-09-17
50,1.56,2019-09-25
51,1.53,2019-10-07
52,1.47,2019-10-11
53,1.49,2019-10-23
54,1.44,2019-10-31
55,1.46,2019-11-04
56,1.73,2019-11-12
57,2.01,2019-11-22
58,2,2019-11-28
59,1.82,2019-12-18
60,1.72,2019-12-30
61,1.65,2020-01-03
62,1.62,2020-01-09
63,1.37,2020-02-04
64,1.41,2020-02-26
65,1.4,2020-02-28
66,1.71,2020-03-03
67,1.68,2020-03-09
68,1.69,2020-03-11
69,1.31,2020-03-23
70,2.26,2020-03-27
71,2.26,2020-04-02
72,2.26,2020-04-08
73,2.05,2020-04-14
74,1.94,2020-04-20
75,1.47,2020-05-26
76,1.4,2020-06-01
77,1.38,2020-06-03
78,1.14,2020-06-25
79,1.11,2020-07-01
80,1.04,2020-07-07
81,1.12,2020-07-13
82,1.12,2020-07-21
83,1.58,2020-08-12
84,1.56,2020-08-14
85,1.51,2020-08-18
86,1.45,2020-08-24
87,1.43,2020-08-26
88,1.63,2020-09-07
89,1.76,2020-09-17
90,1.82,2020-09-23
91,2.63,2020-10-01
92,2.63,2020-10-05
93,2.88,2020-10-29
94,2.75,2020-11-04
95,2.7,2020-11-10
96,2.75,2020-11-16
97,2.86,2020-12-04
98,2.78,2020-12-10
99,2.61,2021-01-15
100,2.7,2021-01-21
101,2.73,2021-01-27
102,2.59,2021-02-22
103,2.59,2021-02-26
104,2.65,2021-03-04
