Key*,total,data
1,1.360242631,2018-09-22
2,1.44016248,2018-10-04
3,1.551201434,2018-10-16
4,1.63977421,2018-11-09
5,1.726220774,2018-11-21
6,1.910562473,2018-12-11
7,1.627167948,2018-12-27
8,1.716408508,2019-01-28
9,1.773731089,2019-02-25
10,1.552898353,2019-03-21
11,1.534374488,2019-04-02
12,1.125388228,2019-05-16
13,1.385805162,2019-10-23
14,1.449214382,2019-11-28
15,1.654961345,2020-03-27
16,1.534209215,2020-10-05
17,1.572023405,2020-11-10
18,1.943212731,2021-01-15
19,2.046305059,2021-01-21
20,1.90669897,2021-01-27
21,1.506315798,2021-02-26
22,1.913976924,2021-03-04
23,2.107803779,2021-03-10
24,1.932174731,2021-03-16
25,1.972348244,2021-03-22
26,1.621258991,2021-03-28
27,1.79051345,2021-04-03
28,2.045882265,2021-04-09
29,2.065387154,2021-05-03
30,2.143373331,2021-05-05
31,1.795031052,2021-05-09
32,1.709169644,2021-05-15
33,1.33648167,2021-05-17
34,1.417714338,2021-05-27
35,1.821615085,2021-06-02
36,1.485572152,2021-06-08
37,1.894632137,2021-06-14
38,1.885772291,2021-06-20
39,2.133182146,2021-06-22
40,1.734850907,2021-06-26
41,1.397639436,2021-07-08
42,1.269983696,2021-07-14
43,1.947384094,2021-07-20
44,2.086601886,2021-07-26
45,2.285612055,2021-07-28
46,2.085190871,2021-08-01
47,1.598453167,2021-08-13
48,1.664753946,2021-08-25
49,1.490663081,2021-08-31
50,1.434258133,2021-09-02
51,1.370611664,2021-09-06
52,1.850221726,2021-09-12
53,1.430724912,2021-09-18
54,1.387542173,2021-09-24
55,1.568768535,2021-09-30
56,1.508456868,2021-10-06
57,1.451678362,2021-10-12
58,1.480446124,2021-10-18
59,1.565930358,2021-10-24
60,1.618423991,2021-10-30
61,1.580170771,2021-11-01
62,1.629969083,2021-11-17
63,1.534469031,2021-11-23
64,1.495220169,2021-12-19
65,1.543074632,2021-12-23
66,1.498066761,2022-01-04
67,1.462365044,2022-01-12
68,1.575572036,2022-01-16
69,1.477106342,2022-01-24
70,1.490566593,2022-01-28
71,1.424820937,2022-02-09
72,1.246193224,2022-02-17
73,1.407905673,2022-02-21
74,1.253735049,2022-03-01
75,1.20796001,2022-03-05
76,1.213140129,2022-03-13
