Key*,total,data
1,10.01,2018-09-10
2,10.47,2018-10-12
3,9.55,2018-12-11
4,7.73,2019-01-04
5,7.13,2019-01-08
6,9.88,2019-02-01
7,6.3,2019-03-09
8,7.51,2019-05-04
9,7,2019-05-08
10,6.34,2019-06-09
11,9.04,2019-07-03
12,6.92,2019-08-08
13,6.11,2019-09-05
14,6.4,2019-10-07
15,7.19,2019-11-10
16,9.63,2019-11-10
17,7.91,2019-12-11
18,4.51,2020-01-09
19,2.08,2020-02-04
20,3.35,2020-03-03
21,4.73,2020-03-09
22,8.96,2020-03-11
23,4.8,2020-04-02
24,2.99,2020-04-08
25,4.74,2020-05-02
26,2.97,2020-05-08
27,7.62,2020-05-10
28,6.51,2020-06-01
29,6.47,2020-07-01
30,1.61,2020-07-07
31,4.89,2020-09-07
32,9.26,2020-09-11
33,6.35,2020-10-01
34,9.26,2020-10-11
