Key*,total,data
1,5.322989731,2018-09-10
2,9.082396943,2018-09-18
3,9.34741163,2018-09-22
4,9.776505411,2018-09-30
5,9.730354611,2018-10-04
6,10.04622037,2018-10-12
7,9.986756932,2018-10-16
8,9.865502545,2018-10-24
9,9.774655511,2018-10-28
10,9.487915326,2018-11-05
11,9.689969629,2018-11-09
12,9.62659399,2018-11-17
13,9.897107666,2018-11-21
14,10.09617491,2018-11-29
15,10.14306399,2018-12-03
16,10.412271,2018-12-11
17,10.29691382,2018-12-15
18,10.0161322,2018-12-23
19,9.997789874,2018-12-27
20,10.27424433,2019-01-04
21,10.21489234,2019-01-28
22,9.780707878,2019-02-21
23,9.667847586,2019-02-25
24,9.404767588,2019-03-05
25,9.278346558,2019-03-09
26,8.951763722,2019-03-17
27,8.804836801,2019-03-21
28,8.509735512,2019-03-29
29,8.380525431,2019-04-02
30,8.064413996,2019-04-10
31,7.783613397,2019-04-22
32,7.526684728,2019-05-04
33,7.3378236,2019-05-08
34,7.630353665,2019-05-16
35,7.534806317,2019-05-20
36,8.43101966,2019-05-28
37,8.436999028,2019-06-09
38,8.026939939,2019-06-25
39,7.724644549,2019-07-03
40,7.494579409,2019-07-15
41,7.580639763,2019-07-19
42,8.016353528,2019-07-31
43,7.832069716,2019-08-08
44,7.765934426,2019-08-12
45,7.456595554,2019-08-20
46,7.456595554,2019-09-01
47,7.494579409,2019-09-05
48,9.00714772,2019-09-17
49,9.604994467,2019-09-25
50,9.997789874,2019-10-07
51,9.780707878,2019-10-11
52,9.844934585,2019-10-23
53,9.045832586,2019-10-31
54,9.102007643,2019-11-04
55,9.689969629,2019-11-12
56,9.667847586,2019-11-22
57,9.358134766,2019-11-28
58,8.090786354,2019-12-18
59,7.811507114,2019-12-30
60,7.692104289,2020-01-03
61,7.509235426,2020-01-09
62,6.511836288,2020-02-04
63,5.714321079,2020-02-26
64,5.614446165,2020-02-28
65,5.41094914,2020-03-03
66,5.266094301,2020-03-09
67,5.23406818,2020-03-11
68,5.10143166,2020-03-23
69,5.028478087,2020-03-27
70,4.82813717,2020-04-02
71,4.62746068,2020-04-08
72,4.388278736,2020-04-14
73,4.204465231,2020-04-20
74,3.779575318,2020-05-26
75,3.731493177,2020-06-01
76,3.706964197,2020-06-03
77,3.977237045,2020-06-25
78,4.381029027,2020-07-01
79,4.482933574,2020-07-07
80,4.491400882,2020-07-13
81,4.781986362,2020-07-21
82,5.336596557,2020-08-12
83,5.39670792,2020-08-14
84,5.474944858,2020-08-18
85,6.196690464,2020-08-24
86,6.259121831,2020-08-26
87,6.569492381,2020-09-07
88,6.87128027,2020-09-17
89,6.928130703,2020-09-23
90,7.494579409,2020-10-01
91,8.329796409,2020-10-05
92,8.663759385,2020-10-29
93,9.378482935,2020-11-04
94,9.52219492,2020-11-10
95,9.780707878,2020-11-16
96,10.11938958,2020-12-04
97,9.986756932,2020-12-10
98,10.09617491,2021-01-15
99,10.11938958,2021-01-21
100,10.10777697,2021-01-27
101,9.604994467,2021-02-22
102,9.476816302,2021-02-26
103,9.230921623,2021-03-04
104,7.068608263,2021-03-06
105,9.815916221,2021-03-10
106,9.172928185,2021-03-16
107,1.796382281,2021-03-18
108,10.02590519,2021-03-22
109,8.583890971,2021-03-28
110,7.581280742,2021-03-30
111,8.85426993,2021-04-03
112,9.346388194,2021-04-09
113,3.702033117,2021-04-11
114,8.561689114,2021-04-15
115,7.813961507,2021-04-21
116,7.412676269,2021-04-23
117,8.902466202,2021-04-27
118,9.096092407,2021-05-03
119,9.312311181,2021-05-05
120,8.389610297,2021-05-09
121,8.296969583,2021-05-15
122,7.547895965,2021-05-17
123,8.547202723,2021-05-27
124,8.051178535,2021-05-29
125,8.725212626,2021-06-02
126,8.596738371,2021-06-08
127,7.944074099,2021-06-10
128,8.80686969,2021-06-14
129,8.768575731,2021-06-20
130,9.397586591,2021-06-22
131,8.621557761,2021-06-26
132,8.272228235,2021-07-02
133,8.20948479,2021-07-04
134,8.350556156,2021-07-08
135,8.804223148,2021-07-14
136,4.484019002,2021-07-16
137,9.167578342,2021-07-20
138,9.268919577,2021-07-26
139,9.770046327,2021-07-28
140,8.996178767,2021-08-01
141,7.570896998,2021-08-07
142,0.796805252,2021-08-09
143,7.997514566,2021-08-13
144,7.073635765,2021-08-21
145,7.948276304,2021-08-25
146,8.567650431,2021-08-31
147,8.505649553,2021-09-02
148,8.706168965,2021-09-06
149,8.546949293,2021-09-12
150,8.522458488,2021-09-18
151,8.186395839,2021-09-24
152,8.041284097,2021-09-26
153,8.416926011,2021-09-30
154,8.484860641,2021-10-06
155,7.356612418,2021-10-08
156,8.615377663,2021-10-12
157,8.702660585,2021-10-18
158,7.879020993,2021-10-20
159,8.796204089,2021-10-24
160,8.763472259,2021-10-30
161,8.937891348,2021-11-01
162,8.07426553,2021-11-13
163,9.014990897,2021-11-17
164,8.962053212,2021-11-23
165,9.441492108,2021-11-25
166,9.215388743,2021-11-29
167,9.35842349,2021-12-05
168,9.729961944,2021-12-07
169,9.453372484,2021-12-11
