Key*,total,data
1,1.96,2015-03-30
2,1.92,2015-04-07
3,3.55,2016-01-12
4,3.16,2016-02-05
5,2.98,2016-02-29
6,1.99,2016-03-24
7,1.63,2016-05-23
8,1.65,2016-06-28
9,1.66,2016-07-22
10,1.67,2016-08-03
11,1.68,2016-08-15
12,1.5,2016-09-08
13,1.1,2016-09-20
14,1.59,2016-10-14
15,2.42,2016-10-26
16,4.74,2017-03-27
17,4.27,2017-04-12
18,4.17,2017-04-20
19,4.14,2017-04-24
20,4.17,2017-05-18
21,4.47,2017-05-30
22,5.01,2017-06-07
23,5.01,2017-06-19
24,4.9,2017-06-23
25,4.9,2017-07-13
26,4.9,2017-07-17
27,5.01,2017-07-25
28,4.78,2017-08-10
29,4.72,2017-08-22
30,4.72,2017-08-30
31,4.65,2017-09-11
32,4.53,2017-09-15
33,4.42,2017-09-27
34,4.78,2017-10-05
35,4.78,2017-10-09
36,4.9,2017-11-02
37,4.59,2018-03-14
38,4.48,2018-03-22
39,3.93,2018-04-03
40,3.21,2018-04-27
41,3.15,2018-05-09
42,3.15,2018-05-21
43,3.15,2018-05-25
44,2.88,2018-06-14
45,2.73,2018-06-18
46,2.23,2018-06-27
47,1.64,2018-07-12
48,1.63,2018-07-24
49,1.57,2018-08-01
50,1.48,2018-08-17
51,1.43,2018-08-29
52,1.42,2018-09-06
53,1.41,2018-09-10
54,1.7,2018-09-18
55,1.96,2018-10-04
56,1.96,2018-10-12
57,1.96,2018-10-16
58,1.96,2018-10-24
59,1.94,2018-11-05
60,1.92,2018-11-09
61,2.08,2018-11-21
62,2.23,2018-11-29
63,2.23,2018-12-03
64,2.28,2018-12-11
65,2.53,2018-12-27
66,3.42,2019-01-04
67,3.46,2019-01-08
68,3.49,2019-01-16
69,3.38,2019-01-28
70,3.14,2019-02-13
71,3.02,2019-02-21
72,2.73,2019-02-25
73,2.59,2019-03-05
74,1.41,2019-04-02
75,1.41,2019-05-04
76,0.48,2019-05-16
77,0.48,2019-05-20
78,0.6,2019-05-28
79,1.05,2019-06-13
80,0.82,2019-06-21
81,0.87,2019-06-25
82,0.61,2019-07-15
83,0.61,2019-07-19
84,0.68,2019-08-08
85,1.35,2019-08-12
86,1.25,2019-08-20
87,1.75,2019-09-17
88,3.64,2019-10-11
89,3.69,2019-10-23
90,3.78,2019-10-31
91,3.93,2019-11-04
92,4.95,2020-01-21
93,4.58,2020-02-04
94,4.16,2020-02-14
95,4.06,2020-02-20
96,3.84,2020-02-26
97,3.38,2020-03-11
98,2.24,2020-04-14
99,2.18,2020-04-20
100,1.85,2020-05-20
101,2.16,2020-06-01
102,2.54,2020-06-15
103,2.81,2020-06-25
104,2.98,2020-07-07
105,2.71,2020-07-21
106,3.21,2020-08-12
107,3.73,2020-08-18
108,3.84,2020-08-24
109,3.84,2020-08-26
110,4.06,2020-09-07
111,4.16,2020-09-11
112,4.41,2020-09-23
113,4.79,2020-09-29
114,4.99,2020-10-05
115,3.12,2021-01-27
116,4.98,2021-01-29
117,4.72,2021-02-02
118,4,2021-02-10
119,4.71,2021-02-14
120,4.25,2021-02-20
121,3.48,2021-02-22
122,3.41,2021-02-26
123,3.97,2021-03-04
124,4.07,2021-03-06
125,2.07,2021-03-10
126,3.65,2021-03-18
127,3.01,2021-03-22
128,3.59,2021-03-28
129,3.08,2021-03-30
130,2.18,2021-04-03
131,2.61,2021-04-09
132,2.72,2021-04-11
133,2.39,2021-04-15
134,2.82,2021-04-21
135,2.76,2021-04-23
136,1.61,2021-04-27
137,2.32,2021-05-03
138,2.61,2021-05-05
139,1.8,2021-05-09
140,2.76,2021-05-15
141,1.79,2021-05-17
142,1.75,2021-05-27
143,2.29,2021-05-29
144,2.4,2021-06-02
145,2.55,2021-06-08
146,2.61,2021-06-10
147,2.31,2021-06-14
148,2.6,2021-06-20
149,1.82,2021-06-22
150,2.37,2021-06-26
151,1.82,2021-07-02
152,1.26,2021-07-04
153,1.71,2021-07-08
154,1.93,2021-07-14
155,1.8,2021-07-16
156,1.24,2021-07-20
157,1.07,2021-07-26
158,1.73,2021-07-28
159,1.02,2021-08-01
160,1.39,2021-08-07
161,1.39,2021-08-09
162,1.06,2021-08-21
163,1.35,2021-08-25
164,1.83,2021-08-31
165,1.44,2021-09-02
166,1.73,2021-09-06
167,2.14,2021-09-12
168,1.68,2021-09-14
169,1.76,2021-09-18
170,2.19,2021-09-24
171,2.11,2021-09-26
172,2.57,2021-09-30
173,3.19,2021-10-06
174,2.42,2021-10-08
175,2.87,2021-10-12
176,3.96,2021-10-18
177,3.23,2021-10-20
178,3.82,2021-10-24
179,5.03,2021-11-01
