Key*,total,data
14,6.44791156,2015-02-22
13,4.840416857,2015-03-30
12,2.338135717,2015-07-04
10,2.974569113,2015-07-28
2,2.925775379,2015-08-21
1,3.799604336,2015-09-14
3,3.92840038,2015-10-08
15,4.064464053,2015-11-01
11,4.424260504,2015-11-25
6,4.718415058,2015-12-19
7,5.508853814,2016-01-12
8,3.850978521,2016-02-05
9,4.785252273,2016-02-29
4,5.727349821,2016-03-24
5,7.026973125,2016-04-05
16,6.124959742,2016-04-17
17,5.344827716,2016-04-29
18,3.257459375,2016-05-11
19,1.99265669,2016-05-23
20,2.546359327,2016-06-04
21,2.845723175,2016-06-28
22,2.66136275,2016-07-10
23,2.354523799,2016-07-22
24,2.324848227,2016-08-03
25,3.301112542,2016-08-15
26,3.628908254,2016-08-27
27,3.768175532,2016-09-08
28,3.260533235,2016-09-20
29,3.182967571,2016-10-02
30,4.006654219,2016-10-14
31,4.378931186,2016-10-26
32,5.735888107,2016-11-07
33,5.403224574,2016-11-19
34,5.256341905,2016-12-13
35,5.345890667,2016-12-25
36,5.527992266,2017-01-06
37,5.43032726,2017-01-18
38,5.574344836,2017-01-30
39,5.319444071,2017-02-23
40,5.502801624,2017-03-07
41,5.774678389,2017-03-19
42,5.441821785,2017-04-12
43,4.670165527,2017-04-24
44,5.098898991,2017-05-06
45,4.602555837,2017-05-18
46,5.530183093,2017-05-30
47,4.931583532,2017-06-07
48,5.403590138,2017-06-11
49,5.135105702,2017-06-19
50,5.511976353,2017-06-23
51,5.60434543,2017-07-01
52,5.450556002,2017-07-05
53,4.470850476,2017-07-13
54,5.119530117,2017-07-17
55,5.109599252,2017-07-29
56,5.290496319,2017-08-06
57,5.774933312,2017-08-10
58,5.257031273,2017-08-18
59,6.520397431,2017-08-22
60,5.843847524,2017-08-30
61,5.888016549,2017-09-03
62,5.968483672,2017-09-11
63,6.1251393,2017-09-15
64,6.171584509,2017-09-23
65,5.697550892,2017-09-27
66,5.730533917,2017-10-09
67,5.800345554,2017-10-21
68,5.729764088,2017-11-02
69,5.531900943,2017-11-14
70,5.311091979,2017-11-26
71,6.344714671,2018-01-25
72,6.659209999,2018-02-06
73,5.43555551,2018-02-14
74,5.353921061,2018-02-18
75,5.850176102,2018-03-02
76,6.296882475,2018-03-14
77,5.441079165,2018-03-26
78,4.228816643,2018-04-03
79,4.457792461,2018-04-07
80,4.15624981,2018-04-15
81,3.40010482,2018-04-27
82,3.59365947,2018-05-01
83,3.192913375,2018-05-09
84,3.462172873,2018-05-13
85,3.400758525,2018-05-21
86,3.060206848,2018-05-25
87,3.098848846,2018-06-06
88,2.644626354,2018-06-14
89,2.941193701,2018-06-18
90,2.909879035,2018-06-30
91,2.699026989,2018-07-08
92,2.993630167,2018-07-12
93,2.490520413,2018-07-20
94,3.169753146,2018-07-24
95,2.810888109,2018-08-01
96,3.281309979,2018-08-05
97,3.309533251,2018-08-17
98,3.224711477,2018-08-25
99,3.880232519,2018-08-29
100,4.033165129,2018-09-06
101,5.468067808,2018-09-10
102,4.981521664,2018-09-18
103,4.854415292,2018-09-22
104,5.503241542,2018-09-30
105,4.807391389,2018-10-04
106,5.29465623,2018-10-16
107,5.089542652,2018-10-28
108,5.136407081,2018-11-09
109,5.073204927,2018-11-21
110,5.465225788,2018-12-03
111,5.056825695,2018-12-15
112,5.318865534,2019-01-08
113,5.383740787,2019-01-20
114,5.634904247,2019-02-01
115,5.009691968,2019-02-13
116,4.954655398,2019-02-25
117,4.80271062,2019-03-09
118,3.523583744,2019-03-17
119,3.71354332,2019-03-29
120,4.475599334,2019-04-10
121,3.838522007,2019-04-14
122,4.080894169,2019-04-22
123,4.283132417,2019-04-26
124,3.422969819,2019-05-04
125,3.496443855,2019-05-08
126,2.575615723,2019-05-16
127,2.948817333,2019-05-20
128,2.907405148,2019-05-28
129,3.030321277,2019-06-01
130,2.882646951,2019-06-09
131,2.906032317,2019-06-13
132,2.92436021,2019-06-25
133,2.75430887,2019-07-07
134,2.479701278,2019-07-19
135,2.744185276,2019-08-08
136,3.221162048,2019-08-20
137,3.331109796,2019-09-01
138,3.760834003,2019-09-05
139,5.054218611,2019-09-17
140,5.42851526,2019-09-29
141,5.259763893,2019-10-11
142,5.241495772,2019-10-23
143,4.987703952,2019-10-31
144,4.956854453,2019-11-04
145,5.54442864,2019-11-10
146,5.172473926,2019-11-12
147,5.219884823,2019-11-16
148,5.530914391,2019-11-22
149,5.01949174,2019-11-28
150,5.326702365,2019-12-04
151,5.20041198,2019-12-10
152,5.524275545,2019-12-16
153,5.365625741,2019-12-22
154,5.518383654,2019-12-28
155,5.621287564,2020-01-09
156,5.802132683,2020-01-15
157,5.782691129,2020-01-21
158,5.241260587,2020-01-27
159,5.055299499,2020-02-02
160,4.716724317,2020-02-04
161,4.530030028,2020-02-20
162,4.872303058,2020-02-26
163,5.027152051,2020-03-03
